welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,6.5449,getuigen,,0.076719599,-0.163319463,1,0,0,0,142,142,183,1,getuigen,images/br_getuigen.png,images/cb_getuigen.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,3.0035,,,-0.130439029,0.045410156,1,0,0,0,143,143,38,1,baai,images/br_baai.png,images/cb_baai.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,6.3343,,,0.035750679,0.058606488,1,0,0,0,144,144,152,1,afnemen,images/br_afnemen.png,images/cb_afnemen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.9278,,,0.035750679,0.058355978,1,0,0,0,145,145,83,1,mening,images/br_mening.png,images/cb_mening.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.0055,,,0.02993801,0.055205503,1,0,0,0,146,146,134,1,geliefd,images/br_geliefd.png,images/cb_geliefd.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.7857,,,0.027352242,0.055205503,1,0,0,0,147,147,139,1,stiekem,images/br_stiekem.png,images/cb_stiekem.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.9264,,,0.027352242,0.055205503,1,0,0,0,148,148,71,1,bever,images/br_bever.png,images/cb_bever.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.466,,,0.025585937,0.054067595,1,0,0,0,149,149,89,1,slapen,images/br_slapen.png,images/cb_slapen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.2698,,,0.025585937,0.054067595,1,0,0,0,150,150,170,1,schatten,images/br_schatten.png,images/cb_schatten.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.8664,,,0.023051121,0.054067595,1,0,0,0,151,151,53,1,baron,images/br_baron.png,images/cb_baron.png,0,,,,,,,,,,,,,,,,,,,,,
