welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.032407407,-0.130555541,1,0,0,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,0.690740797,-0.277777778,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,3.1524,staren,,0.483333305,-0.253703718,1,0,0,0,0,0,101,1,staren,images/br_staren.png,images/cb_staren.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,8.9297,,,0.455555527,-0.275000042,1,0,0,0,1,1,130,1,keihard,images/br_keihard.png,images/cb_keihard.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,1.849,,,0.455555527,-0.275000042,1,0,0,0,2,2,92,1,geheim,images/br_geheim.png,images/cb_geheim.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,17.443,,,0.455555527,-0.275000042,1,0,0,0,3,3,199,1,beseffen,images/br_beseffen.png,images/cb_beseffen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,0.9882,,,0.455555527,-0.275000042,1,0,0,0,4,4,10,1,leek,images/br_leek.png,images/cb_leek.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,14.763,,,0.455555527,-0.280555584,0,0,1,0,5,5,120,1,klimmen,images/br_klimmen.png,images/cb_klimmen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,11.9472,toegeven,,0.323148233,-0.133333347,1,0,0,0,6,6,181,1,toegeven,images/br_toegeven.png,images/cb_toegeven.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,4.5678,,,0.030555584,-0.010185206,0,1,0,0,7,7,107,1,maling,images/br_maling.png,images/cb_maling.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00055,2023-10-13_19h44.35.969,vbt_B2_day3,2022.2.4,Win32,59.64096141,,,,,,down,0,33.9726,,,0.32685188,-0.260185171,1,0,0,0,8,8,49,1,laken,images/br_laken.png,images/cb_laken.png,0,,,,,,,,,,,,,,,,,,,,,
