nlLet,letter,readingTime,checkingTime
v,v,1.52859999999998,11.0621
a,a,1.51690000000002,6.40029999999999
w,w,1.5175,4.71610000000004
t,t,1.51689999999996,4.67179999999999
p,p,1.51170000000002,4.06670000000001
e,e,1.51679999999998,3.51679999999999
l,l,1.51680000000005,5.38349999999998
r,r,1.51679999999999,4.53359999999998
b,b,1.51670000000001,4.0335
z,z,1.51659999999998,3.61690000000002
m,m,1.517,3.19979999999998
f,f,1.51730000000001,4.21640000000002
i,i,1.51729999999998,3.83310000000003
o,o,1.51669999999996,3.21680000000006
h,h,1.51679999999999,3.48339999999996
d,d,1.51680000000005,3.65040000000002
s,s,1.51709999999997,3.21640000000002
u,u,1.51650000000001,3.38419999999996
g,g,1.51630000000003,2.28309999999999
y,y,1.51669999999996,2.68349999999998
c,c,1.51680000000005,2.03319999999997
j,j,1.51770000000008,2.93249999999998
x,x,1.51729999999995,2.38299999999998
k,k,1.51750000000001,3.94980000000004
q,q,1.517,3.29969999999997
n,n,1.51730000000003,3.04940000000002
w,w,1.51750000000001,2.48269999999994
k,k,1.51690000000002,2.44979999999995
c,c,1.51690000000002,2.56680000000003
f,f,1.51669999999996,3.15009999999998
u,u,1.51770000000008,2.21609999999998
a,a,1.51659999999995,3.68370000000007
x,x,1.51669999999996,2.08340000000004
o,o,1.5164,2.93350000000001
m,m,1.51679999999993,3.53459999999995
z,z,1.53230000000008,3.09999999999997
b,b,1.51680000000005,3.93360000000001
l,l,1.51679999999993,3.53340000000003
p,p,1.51659999999998,3.28360000000009
r,r,1.51679999999988,3.35180000000008
s,s,1.53169999999994,4.25020000000006
v,v,1.51689999999991,3.34990000000005
e,e,1.51680000000005,2.3667999999999
d,d,1.51680000000005,3.90010000000001
t,t,1.51680000000005,3.28559999999999
j,j,1.53130000000004,2.78349999999995
i,i,1.51669999999996,2.95010000000002
h,h,1.51670000000007,2.35009999999994
q,q,1.517,2.48319999999995
g,g,1.51680000000005,2.71669999999995
y,y,1.51670000000007,2.55029999999994
n,n,1.51659999999998,2.93350000000004
e,e,1.51680000000005,2.09999999999997
m,m,1.51680000000005,1.90010000000001
b,b,1.49990000000003,2.5335
j,j,1.51679999999988,5.83820000000009
d,d,1.52869999999996,2.35019999999997
s,s,1.51670000000007,2.23349999999999
w,w,1.51669999999996,2.88400000000001
q,q,1.53280000000001,2.05019999999996
n,n,1.51670000000007,2.45009999999996
u,u,1.51669999999996,2.06670000000008
x,x,1.51689999999991,2.14999999999998
g,g,1.51680000000005,3.06690000000003
c,c,1.51659999999998,2.65010000000001
v,v,1.51680000000005,2.29999999999995
i,i,1.51690000000002,1.88329999999996
k,k,1.51680000000005,2.23340000000002
f,f,1.51659999999998,2.78340000000003
y,y,1.51709999999997,2.53329999999994
r,r,1.51670000000007,3.68349999999998
a,a,1.51669999999996,1.76670000000007
l,l,1.51679999999993,1.71670000000006
z,z,1.51689999999991,2.03330000000005
o,o,1.51669999999996,2.45020000000005
p,p,1.51659999999998,4.46690000000001
h,h,1.51690000000002,2.88339999999994
t,t,1.5166000000001,2.21679999999992
f,f,1.517,3.35000000000002
s,s,1.51680000000005,2.33339999999998
g,g,1.51679999999993,4.11670000000009
p,p,1.51689999999991,1.69990000000001
m,m,1.51680000000005,2.08329999999995
b,b,1.51670000000007,2.81689999999998
i,i,1.51679999999993,1.93340000000006
a,a,1.51680000000005,7.06689999999986
w,w,1.51690000000002,2.26670000000007
q,q,1.51659999999998,2.18350000000004
