nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
ziek,0,,0,ziek,8.58329999995232,1.224,0,NaN,
attentie,0,,0,attentie,18.2823000000119,0.882399999976158,0,NaN,
mode,0,,0,mode,9.30730000001192,0.732399999976153,0,NaN,
kasteel,0,,0,kasteel,16.2688000000119,0.78219999998808,0,NaN,
praat,0,,0,praat,6.44289999997616,1.38160000002384,0,NaN,
slagen,0,,0,slagen,6.09330000001192,1.79880000001191,0,NaN,
snoep,0,,0,snoep,7.67510000002383,2.13230000001192,0,NaN,
grappen,0,,0,grappen,6.47689999997615,2.91389999997617,0,NaN,
invloed,0,,0,invloed,11.3051999999881,1.58199999999999,0,NaN,
waarvan,0,,0,waarvan,8.74210000002384,1.2476999999881,0,NaN,
leuk,0,,0,leuk,11.6383999999762,1.79960000002384,0,NaN,
seizoen,0,,0,seizoen,13.5039000000358,0.999099999964216,0,NaN,
anarchie,0,,0,anarchie,12.7386999999881,0.798900000035786,0,NaN,
maken,0,,0,maken,3.37900000000002,2.96440000003577,0,NaN,
mijn,0,,0,mijn,8.17509999996423,1.76560000002385,0,NaN,
innemen,0,,0,innemen,6.47860000002385,5.73789999997615,0,NaN,
muziek,0,,0,muziek,9.30469999998809,1.62319999998812,0,NaN,
trekker,0,,0,trekker,9.57209999996422,2.0385,0,NaN,
zaal,0,,0,zaal,3.392,0.907100000023831,0,NaN,
baron,0,,0,baron,5.75800000000004,2.57269999998806,0,NaN,
vullen,0,,0,vullen,4.5742999999523,0.923800000011965,0,NaN,
kreeft,0,,0,kreeft,10.2859000000357,1.63830000001195,0,NaN,
aanzoek,0,,0,aanzoek,9.32230000001192,0.738999999999976,0,NaN,
maling,0,,0,maling,9.35469999998804,1.30480000001194,0,NaN,
stof,1,stof,1,stof,NaN,1.61950000000002,1,5.51150000000001,
excuus,0,,0,excuus,5.74439999997617,4.3956999999881,0,NaN,
loyaal,0,,0,loyaal,6.76040000003582,1.24909999996419,0,NaN,
koffie,0,,0,koffie,5.17899999999997,10.3568999999762,0,NaN,
parel,0,,0,parel,6.57739999997614,1.26530000001191,0,NaN,
leren,0,,0,leren,4.34580000001193,1.06549999999999,0,NaN,
heilig,0,,0,heilig,26.6423999999762,0.817200000047649,0,NaN,
bleek,0,,0,bleek,4.54569999998807,0.849300000011908,0,NaN,
openbaar,1,openbaar,1,openbaar,NaN,2.91379999995235,1,9.87410000002382,
oceaan,0,,0,oceaan,7.72580000001193,4.38240000003577,0,NaN,
flirt,1,flirt,1,flirt,NaN,1.84790000003574,1,7.46019999998811,
oprotten,0,,0,oprotten,5.34489999997618,1.83260000002383,0,NaN,
schuilen,0,,0,schuilen,6.87710000002386,1.0491999999881,0,NaN,
uitdelen,0,,0,uitdelen,11.1561999999881,3.16509999996424,0,NaN,
taal,0,,0,taal,6.56059999996427,0.850400000035734,0,NaN,
steel,0,,0,steel,4.41239999997612,0.849300000011908,0,NaN,
leek,0,,0,leek,3.91239999997612,0.915700000047707,0,NaN,
prikken,0,,0,prikken,5.0611999999881,2.69730000001186,0,NaN,
waarop,0,,0,waarop,6.49419999998804,1.74780000001192,0,NaN,
nakijken,0,,0,nakijken,11.6383000000119,0.716699999988123,0,NaN,
knaap,1,knaap,1,knaap,NaN,0.832500000000095,1,8.5080999999642,
klimmen,0,,0,klimmen,7.80990000003578,1.26629999995237,0,NaN,
techniek,0,,0,techniek,10.5571999999881,1.49810000002378,0,NaN,
slapen,0,,0,slapen,5.3619000000358,0.998699999988048,0,NaN,
opzicht,0,,0,opzicht,6.09399999999994,2.93080000001203,0,NaN,
kennis,0,,0,kennis,6.54369999998812,2.61580000001197,0,NaN,
plek,0,,0,plek,5.31219999998814,2.41359999996416,0,NaN,
sufferd,0,,0,sufferd,6.54430000001196,2.79750000000001,0,NaN,
wegen,0,,0,wegen,7.19309999996426,1.69840000003569,0,NaN,
lust,0,,0,lust,3.4966999999881,1.34960000002388,0,NaN,
site,1,site,1,site,NaN,0.999000000000024,1,6.56080000001191,
stal,0,,0,stal,3.37930000001199,2.23359999996421,0,NaN,
snuiven,1,snuiven,1,snuiven,NaN,1.19969999998807,1,11.1054000000357,
schaamte,0,,0,schaamte,5.39509999996426,7.22630000001197,0,NaN,
hiervan,0,,0,hiervan,9.27459999996427,2.23140000003571,0,NaN,
smullen,0,,0,smullen,4.86130000001197,0.983199999988074,0,NaN,
gerucht,0,,0,gerucht,6.80979999995236,2.79720000004761,0,NaN,
traag,0,,0,traag,5.1791999999881,1.49980000001199,0,NaN,
legaal,1,legaal,1,legaal,NaN,1.46510000002388,1,5.0453999999761,
opkomen,0,,0,opkomen,5.17769999998814,1.14869999998803,0,NaN,
daarheen,0,,0,daarheen,6.90950000000009,1.11669999998799,0,NaN,
staren,1,staren,1,staren,NaN,1.01850000000002,1,5.52850000000001,
hechten,1,hechten,1,hechten,NaN,1.23310000002391,1,9.92389999997613,
hier,0,,0,hier,4.54590000003577,3.06409999996424,0,NaN,
middelen,0,,0,middelen,6.74489999997616,2.69710000002385,0,NaN,
uien,0,,0,uien,4.59659999996427,1.09810000002381,0,NaN,
zwart,0,,0,zwart,5.7940000000001,2.48130000001186,0,NaN,
aandelen,0,,0,aandelen,6.75930000001188,0.950800000011895,0,NaN,
gezond,0,,0,gezond,5.76179999995236,1.3657000000477,0,NaN,
redding,0,,0,redding,10.0405000000001,1.7989000000357,0,NaN,
besmet,0,,0,besmet,7.9596000000239,1.01559999996425,0,NaN,
driemaal,0,,0,driemaal,5.54510000002381,1.3483999999761,0,NaN,
tekst,0,,0,tekst,4.029,1.1501999999881,0,NaN,
gegeven,0,,0,gegeven,3.71319999998809,0.916399999976193,0,NaN,
geluid,0,,0,geluid,4.82820000004767,0.948099999964256,0,NaN,
zweven,0,,0,zweven,4.96239999997613,1.04889999997613,0,NaN,
strekken,0,,0,strekken,16.5020000000001,4.61189999997612,0,NaN,
opkijken,0,,0,opkijken,7.22680000001196,0.816899999976158,0,NaN,
verhaal,0,,0,verhaal,5.44480000001192,1.13339999997618,0,NaN,
jasje,1,jasje,1,jasje,NaN,1.04889999997624,1,8.85839999997609,
keihard,0,,0,keihard,11.2065999999642,2.84760000002393,0,NaN,
moes,0,,0,moes,5.12839999997607,2.79720000004772,0,NaN,
jaar,0,,0,jaar,3.63019999998812,0.783800000011865,0,NaN,
zout,1,zout,1,zout,NaN,0.782499999999914,1,5.76010000002384,
opheffen,0,,0,opheffen,4.99560000002384,1.04899999999998,0,NaN,
vreten,0,,0,vreten,4.67930000001195,0.966099999964172,0,NaN,
vervoer,0,,0,vervoer,7.37549999999999,2.548,0,NaN,
uitlaat,0,,0,uitlaat,5.81119999998816,0.666100000023789,0,NaN,
bedoelen,0,,0,bedoelen,18.5668000000119,1.04890000003581,0,NaN,
kring,0,,0,kring,4.87820000004774,2.53250000000003,0,NaN,
samen,0,,0,samen,4.62900000000002,0.982600000023808,0,NaN,
groen,1,groen,1,groen,NaN,0.733200000047759,1,8.65879999995229,
kabel,0,,0,kabel,5.21180000001186,0.832800000011957,0,NaN,
kaal,0,,0,kaal,3.9303999999762,0.931699999988041,0,NaN,
eenhoorn,0,,0,eenhoorn,7.70980000001191,0.699199999988082,0,NaN,
vlek,0,,0,vlek,3.56359999996425,0.498400000035645,0,NaN,
getuigen,1,getuigen,1,getuigen,NaN,0.732400000035796,1,7.50979999995229,
blad,0,,0,blad,3.97940000003587,0.666799999952218,0,NaN,
