nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
woning,0.0,,False,woning,4.1815,0.5491000000238415,0,
rijp,0.0,,False,rijp,5.690399999976172,0.5406000000238294,0,
keihard,0.0,,False,keihard,4.916099999964231,0.9611999999880823,0,
bedoelen,0.0,,False,bedoelen,5.965600000023841,0.5253000000119243,0,
joggen,0.0,,False,joggen,5.499399999976163,4.098899999976155,0,
wegen,1.0,wegen,True,wegen,,0.7317999999523153,1,4.61580000001193
groen,0.0,,False,groen,5.132500000000007,2.1575999999642335,0,
stal,0.0,,False,stal,3.61690000003577,0.7928999999761572,0,
maken,0.0,,False,maken,3.615200000047693,0.6386999999880771,0,
schep,0.0,,False,schep,3.5835999999642354,0.5888000000119291,0,
kanjer,0.0,,False,kanjer,4.483499999999992,0.5095000000000027,0,
schat,0.0,,False,schat,4.365799999952316,0.4730000000000132,0,
vreten,0.0,,False,vreten,5.466299999952298,0.5730000000000075,0,
jasje,0.0,,False,jasje,8.33240000003579,0.6084999999999923,0,
anarchie,0.0,,False,anarchie,3.882499999999993,0.6068000000119298,0,
staren,0.0,,False,staren,3.6827999999522945,0.5906000000238407,0,
uitlaat,0.0,,False,uitlaat,6.982699999988085,0.5216999999880727,0,
getuigen,0.0,,False,getuigen,8.549699999988093,5.089699999988056,0,
klimmen,0.0,,False,klimmen,5.348000000000013,23.575199999988087,0,
heengaan,0.0,,False,heengaan,5.531600000023843,0.8598999999761645,0,
knaap,0.0,,False,knaap,4.500300000011919,0.5086999999880959,0,
bijkomen,0.0,,False,bijkomen,5.715499999999992,0.507000000000005,0,
stof,0.0,,False,stof,4.149900000035757,0.4907999999523156,0,
geliefd,0.0,,False,geliefd,4.150799999952312,1.0691000000238375,0,
maaltijd,0.0,,False,maaltijd,4.3823999999761725,0.5381999999880804,0,
afnemen,0.0,,False,afnemen,4.984800000011916,0.6728000000119039,0,
redding,0.0,,False,redding,4.150100000023855,0.5711999999880675,0,
gegeven,0.0,,False,gegeven,4.000199999988098,0.5718000000118764,0,
blik,0.0,,False,blik,3.6828999999761436,0.6734000000357696,0,
