nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
koffie,0,,0,koffie,5.79629999995234,0.691400000095427,0,NaN,
gebit,0,,0,gebit,7.18129999995222,0.477400000095486,0,NaN,
tekst,0,,0,tekst,11.0520999999046,0.539099999904693,0,NaN,
aanzien,0,,0,aanzien,6.88220000004776,0.442799999952285,0,NaN,
heilig,0,,0,heilig,4.44989999985683,0.391000000000076,0,NaN,
maken,0,,0,maken,4.36670000004756,0.357500000000073,0,NaN,
graaf,0,,0,graaf,9.39760000014303,0.443699999809269,0,NaN,
feestdag,0,,0,feestdag,10.1989000000954,0.390799999952378,0,NaN,
samen,0,,0,samen,31.5214999999998,0.4525000000001,0,NaN,
woestijn,0,,0,woestijn,9.2167999999524,0.424200000047676,0,NaN,
weeshuis,0,,0,weeshuis,6.51269999980923,0.708500000000186,0,NaN,
schuilen,0,,0,schuilen,5.33269999980939,0.408600000142997,0,NaN,
invloed,0,,0,invloed,21.2511000001432,0.474199999809116,0,NaN,
laken,0,,0,laken,5.20000000000005,0.376499999999851,0,NaN,
mijn,0,,0,mijn,4.69909999990477,0.543900000095164,0,NaN,
stoom,0,,0,stoom,4.1351999998094,0.473600000143051,0,NaN,
afval,0,,0,afval,22.4494000000955,0.507399999856943,0,NaN,
bleek,0,,0,bleek,6.03420000004758,0.52279999995244,0,NaN,
vinger,0,,0,vinger,15.2987000000478,0.492899999856945,0,NaN,
lever,0,,0,lever,8.89850000000001,0.425300000190873,0,NaN,
lokken,0,,0,lokken,3.14940000009551,0.490499999999884,0,NaN,
site,1,site,1,site,NaN,0.526299999952244,1,6.4665999999047,
koppen,0,,0,koppen,9.71729999995227,0.408100000143122,0,NaN,
jaar,0,,0,jaar,6.03530000019077,0.339599999904522,0,NaN,
muziek,0,,0,muziek,4.711899999857,2.09249999999997,0,NaN,
bisschop,0,,0,bisschop,14.6823999998569,0.474900000095431,0,NaN,
daarheen,0,,0,daarheen,7.88179999995236,0.440900000095326,0,NaN,
baas,0,,0,baas,6.68229999995219,0.420499999999947,0,NaN,
uien,0,,0,uien,27.0488000001908,92.1603999998567,0,NaN,
snoep,0,,0,snoep,9.3801000001431,0.543799999952171,0,NaN,
aandelen,0,,0,aandelen,8.30250000000001,0.621300000190558,0,NaN,
volop,0,,0,volop,12.8992000000476,0.506599999904665,0,NaN,
rijp,0,,0,rijp,10.3319999999999,0.457700000047907,0,NaN,
knielen,1,knielen,1,knielen,NaN,0.425999999999931,1,6.49880000019061,
soda,0,,0,soda,9.76759999990463,1.10829999995235,0,NaN,
baai,0,,0,baai,21.2670000000001,0.523700000047711,0,NaN,
aanraden,0,,0,aanraden,8.33249999999998,0.457000000000107,0,NaN,
lukken,0,,0,lukken,6.5004000000954,0.424699999809263,0,NaN,
wagon,0,,0,wagon,5.78009999990468,0.409900000095377,0,NaN,
traag,0,,0,traag,7.24849999999992,0.510400000095387,0,NaN,
hiervan,0,,0,hiervan,8.33159999990471,0.440499999999929,0,NaN,
gedicht,0,,0,gedicht,9.61579999995229,0.594200000047749,0,NaN,
toegeven,1,toegeven,1,toegeven,NaN,0.559199999809152,1,7.30040000009535,
excuus,0,,0,excuus,26.114,0.424300000190897,0,NaN,
eenhoorn,0,,0,eenhoorn,64.6176000001431,0.458200000047782,0,NaN,
driemaal,0,,0,driemaal,7.1351999998094,0.453400000095371,0,NaN,
dans,0,,0,dans,16.0657999999523,0.511099999904445,0,NaN,
zout,1,zoet,0,zout,NaN,0.478000000000065,1,9.61449999999991,
strak,0,,0,strak,8.7027999999525,0.437900000095169,0,NaN,
toeval,0,,0,toeval,7.48340000009534,0.40949999999998,0,NaN,
woede,0,,0,woede,17.749,0.62370000004762,0,NaN,
mode,0,,0,mode,5.94770000004769,0.858599999904527,0,NaN,
stal,0,,0,stal,8.65019999980927,0.407800000190718,0,NaN,
afnemen,0,,0,afnemen,9.76620000004777,0.4414000000952,0,NaN,
bever,0,,0,bever,5.71329999995237,0.460100000143029,0,NaN,
trekker,0,,0,trekker,24.2495999999046,0.542900000095415,0,NaN,
staren,1,staren,1,staren,NaN,0.593799999952353,1,7.14770000004773,
keihard,0,,0,keihard,20.4319999999998,0.444200000047886,0,NaN,
jasje,1,,0,jasje,NaN,0.510300000190682,1,11.9993999998569,
prikken,0,,0,prikken,6.76520000004757,0.424299999952382,0,NaN,
blad,0,,0,blad,3.9332999999524,0.390900000095371,0,NaN,
zwart,0,,0,zwart,7,0.45770000004768,0,NaN,
opheffen,0,,0,opheffen,12.9143000001907,0.445199999809347,0,NaN,
klimmen,0,,0,klimmen,10.8112000000476,0.442699999809292,0,NaN,
opzicht,0,,0,opzicht,10.2336999998092,0.441700000047831,0,NaN,
redding,0,,0,redding,6.4995999999046,0.427000000000135,0,NaN,
groen,1,groen,1,groen,NaN,0.559100000143189,1,7.43339999985687,
snuiven,1,snuuiven,0,snuiven,NaN,1.10890000009545,1,11.9458999998569,
geheim,0,,0,geheim,8.08070000004773,0.542099999904622,0,NaN,
heengaan,0,,0,heengaan,7.61520000004771,0.408399999857011,0,NaN,
nodig,0,,0,nodig,10.5656999998091,0.992200000047887,0,NaN,
zuster,0,,0,zuster,12.7137000000478,0.429600000143182,0,NaN,
dubbel,0,,0,dubbel,7.56679999995231,0.374499999999898,0,NaN,
totaal,0,,0,totaal,11.9832999999524,0.37440000009542,0,NaN,
kabel,0,,0,kabel,5.29810000014299,0.390799999952378,0,NaN,
twijfel,0,,0,twijfel,78.7365,0.908500000000004,0,NaN,
plek,0,,0,plek,5.16629999995257,0.208499999999731,0,NaN,
jagen,0,,0,jagen,4.78200000000015,0.124499999999898,0,NaN,
anarchie,0,,0,anarchie,11.7649000000952,0.160000000000309,0,NaN,
praat,0,,0,praat,8.44870000004812,0.292299999951865,0,NaN,
jurk,0,,0,jurk,7.85140000009505,0.126000000000204,0,NaN,
waarop,0,,0,waarop,5.55059999990453,0.308200000047691,0,NaN,
schatten,0,,0,schatten,16.7690999999045,0.624499999999898,0,NaN,
doodmoe,0,,0,doodmoe,10.8491999998091,0.208300000190775,0,NaN,
oprotten,0,,0,oprotten,6.88170000004766,0.159200000047804,0,NaN,
kaal,0,,0,kaal,4.41550000000007,0.140600000142967,0,NaN,
voorraad,0,,0,voorraad,142.273200000048,0.574900000095113,0,NaN,
geld,0,,0,geld,3.98120000004747,0.860599999904935,0,NaN,
geduld,1,geduld,1,geduld,NaN,0.544200000048022,1,7.93309999990424,
aarzelen,0,,0,aarzelen,5.63340000009566,0.687599999904251,0,NaN,
palm,0,,0,palm,5.51459999990448,0.776400000095691,0,NaN,
gegeven,0,,0,gegeven,14.6832999999524,0.406799999952455,0,NaN,
stiekem,0,,0,stiekem,18.6027999999524,1.09379999995235,0,NaN,
mijnheer,0,,0,mijnheer,50.133899999857,0.508799999952316,0,NaN,
maling,0,,0,maling,7.05089999985694,0.374300000190487,0,NaN,
komisch,0,,0,komisch,25.0825000000004,0.557899999856545,0,NaN,
flits,0,,0,flits,11.9639000000952,0.490599999904589,0,NaN,
hier,0,,0,hier,4.51280000019051,0.393099999904734,0,NaN,
seizoen,0,,0,seizoen,7.91620000004787,0.47259999990456,0,NaN,
strekken,0,,0,strekken,104.356099999905,0.389400000095065,0,NaN,
kreeft,0,,0,kreeft,6.01400000000012,0.892200000047524,0,NaN,
geluid,0,,0,geluid,5.94870000004767,0.425399999856836,0,NaN,
verhaal,0,,0,verhaal,9.34979999995221,0.389200000047822,0,NaN,
slapen,0,,0,slapen,14.6495999999042,0.489400000095429,0,NaN,
waarbij,0,,0,waarbij,23.6487999999526,0.461200000047484,0,NaN,
piste,0,,0,piste,8.01779999995233,0.572599999904469,0,NaN,
spanning,0,,0,spanning,8.68630000019084,0.405599999904553,0,NaN,
baron,0,,0,baron,7.48280000019076,0.444099999904665,0,NaN,
woning,0,,0,woning,7.53420000004735,0.40689999985716,0,NaN,
wijlen,0,,0,wijlen,7.18049999999994,0.458000000000084,0,NaN,
aanzoek,0,,0,aanzoek,6.69520000004786,0.39709999990464,0,NaN,
middelen,0,,0,middelen,7.76899999999978,0.556500000000142,0,NaN,
ijdel,0,,0,ijdel,8.45110000014301,0.409299999952509,0,NaN,
flirt,1,flitsflirt,0,flirt,NaN,0.975200000047607,1,13.6151000001432,
