nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
doodmoe,0,,0,doodmoe,8.74289999985695,0.726999999999975,0,NaN,
rechten,0,,0,rechten,10.0111999998093,2.26380000019074,0,NaN,
graaf,0,,0,graaf,14.3617999999523,0.547299999952315,0,NaN,
geheim,0,,0,geheim,5.6757000000477,0.664799999952294,0,NaN,
vullen,0,,0,vullen,4.84270000004767,0.546700000047707,0,NaN,
opkomen,0,,0,opkomen,4.89540000009535,0.700200000047687,0,NaN,
goedkoop,0,,0,goedkoop,5.51620000004769,0.504199999809259,0,NaN,
mijnheer,0,,0,mijnheer,14.8815,0.653599999904657,0,NaN,
ijdel,0,,0,ijdel,8.18190000009537,0.505099999904616,0,NaN,
kasteel,0,,0,kasteel,4.73270000004769,0.519399999856944,0,NaN,
feestdag,0,,0,feestdag,9.08270000004768,0.520599999904647,0,NaN,
heilig,0,,0,heilig,13.2987000000477,0.478299999952327,0,NaN,
eenhoorn,0,,0,eenhoorn,4.3475,0.470899999856954,0,NaN,
traag,0,,0,traag,3.53139999985694,0.401999999999987,0,NaN,
kreeft,0,,0,kreeft,4.90389999985692,0.629200000047717,0,NaN,
kaal,0,,0,kaal,5.09000000000003,0.521799999952293,0,NaN,
snuiven,1,snuiven,1,snuiven,NaN,0.673599999904638,1,9.06610000014302,
leren,0,,0,leren,4.81049999999999,0.601500000000044,0,NaN,
baai,0,,0,baai,3.63640000009536,0.396399999856953,0,NaN,
leuk,0,,0,leuk,2.90909999990464,0.441499999999962,0,NaN,
bijkomen,1,bijkomen,1,bijkomen,NaN,5.65770000004773,1,12.405100000143,
stemming,0,,0,stemming,6.21550000000002,0.519699999809234,0,NaN,
schep,0,,0,schep,3.88299999999998,2.41929999995233,0,NaN,
tekst,0,,0,tekst,5.26609999990461,0.443300000190732,0,NaN,
flirt,1,flirt,1,flirt,NaN,0.574200000047711,1,7.50999999999999,
hiervan,0,,0,hiervan,16.081,0.52369999980931,0,NaN,
waarvan,0,,0,waarvan,5.16679999995233,0.399000000000001,0,NaN,
mening,0,,0,mening,8.64970000004769,0.482400000095367,0,NaN,
vorm,0,,0,vorm,4.54990000009536,0.457299999952284,0,NaN,
leek,0,,0,leek,3.33329999995232,0.636500000000012,0,NaN,
woede,0,,0,woede,3.36620000004768,0.466900000095336,0,NaN,
geit,0,,0,geit,4.34940000009539,1.07739999985694,0,NaN,
joggen,1,joggen,1,joggen,NaN,0.449400000095352,1,5.71570000004772,
invloed,0,,0,invloed,8.46179999995229,0.393800000190765,0,NaN,
stiekem,0,,0,stiekem,4.41050000000001,0.546699999809221,0,NaN,
daarheen,0,,0,daarheen,9.11959999990466,4.09820000004765,0,NaN,
wegen,0,,0,wegen,3.75550000000004,0.590400000095372,0,NaN,
gedicht,0,,0,gedicht,8.42949999999996,0.633699999809267,0,NaN,
prikken,0,,0,prikken,5.83259999990463,0.416700000047683,0,NaN,
plek,0,,0,plek,3.0962000000477,0.483499999999992,0,NaN,
apparaat,0,,0,apparaat,5.78240000009538,0.467399999856923,0,NaN,
lukken,0,,0,lukken,3.46600000000001,0.472399999856918,0,NaN,
schatten,0,,0,schatten,5.66290000009536,0.569999999999993,0,NaN,
seizoen,0,,0,seizoen,7.19640000009537,0.869000000000028,0,NaN,
dans,0,,0,dans,9.01549999999997,0.452500000000043,0,NaN,
koffie,0,,0,koffie,4.93179999995232,1.00299999999999,0,NaN,
aflopen,0,,0,aflopen,7.97899999999998,0.601399999856994,0,NaN,
sufferd,0,,0,sufferd,9.988,0.559299999952316,0,NaN,
geluid,0,,0,geluid,4.93240000009536,0.469000000000051,0,NaN,
kanjer,0,,0,kanjer,5.87979999995241,0.435099999904537,0,NaN,
vreten,0,,0,vreten,14.511399999857,0.625999999999976,0,NaN,
schat,0,,0,schat,3.73930000019072,0.559399999856964,0,NaN,
vervoer,0,,0,vervoer,4.79040000009536,4.0432999999523,0,NaN,
excuus,0,,0,excuus,5.23200000000008,0.568200000047682,0,NaN,
lust,0,,0,lust,5.37300000000005,0.508599999904618,0,NaN,
opzicht,0,,0,opzicht,5.39809999990462,0.61720000004766,0,NaN,
bleek,0,,0,bleek,3.1492000000477,0.468200000047659,0,NaN,
uitlaat,0,,0,uitlaat,5.13159999990455,0.451400000095418,0,NaN,
koppen,0,,0,koppen,4.71529999995232,0.534799999952384,0,NaN,
hier,0,,0,hier,5.08160000014311,0.584499999999935,0,NaN,
piste,0,,0,piste,2.91579999995224,1.24829999995234,0,NaN,
toegeven,1,toegeven,1,toegeven,NaN,0.597499999999968,1,14.6152999999524,
stof,1,staf,0,stof,NaN,0.547199999809209,1,4.0484000000954,
twijfel,0,,0,twijfel,12.8587999999522,1.65860000014311,0,NaN,
slapen,0,,0,slapen,5.10480000019072,2.82469999980924,0,NaN,
toeval,0,,0,toeval,5.07829999995226,0.785399999856963,0,NaN,
innemen,0,,0,innemen,7.74779999995224,0.553799999952389,0,NaN,
trekker,0,,0,trekker,9.93109999990463,0.807700000047703,0,NaN,
strekken,0,,0,strekken,10.8467999999523,0.719900000095436,0,NaN,
driemaal,0,,0,driemaal,14.2950999999046,0.504100000143126,0,NaN,
flits,0,,0,flits,11.0615999999046,1.20479999995234,0,NaN,
huisdier,0,,0,huisdier,10.8627999999524,1.07249999999999,0,NaN,
ziek,0,,0,ziek,4.8652999999523,0.567700000047694,0,NaN,
attentie,0,,0,attentie,9.43169999980933,0.43620000004762,0,NaN,
gezond,0,,0,gezond,7.84649999999999,0.45120000004772,0,NaN,
palm,0,,0,palm,7.82340000009538,0.541400000095337,0,NaN,
jaar,0,,0,jaar,9.00870000004772,0.858299999952351,0,NaN,
soda,0,,0,soda,7.43120000004774,0.434999999999945,0,NaN,
steel,0,,0,steel,2.96389999985695,0.617100000142955,0,NaN,
poes,0,,0,poes,3.83950000000004,0.494799999952306,0,NaN,
woning,0,,0,woning,4.97830000019076,0.468299999952251,0,NaN,
groen,1,groen,1,groen,NaN,0.530099999904678,1,4.99920000004772,
smullen,0,,0,smullen,7.49349999999993,0.435100000143052,0,NaN,
bedoelen,0,,0,bedoelen,9.5962000000477,0.452599999904692,0,NaN,
kennis,0,,0,kennis,4.97940000009544,0.466700000047695,0,NaN,
bever,0,,0,bever,13.4312000000476,5.99890000009543,0,NaN,
staren,1,staren,1,staren,NaN,0.47229999995227,1,5.8077000000477,
heengaan,0,,0,heengaan,5.22910000014303,0.383200000047736,0,NaN,
wijlen,0,,0,wijlen,5.99849999999992,2.35179999995239,0,NaN,
klauw,0,,0,klauw,7.98259999990455,0.46980000019073,0,NaN,
afval,0,,0,afval,12.6250999999046,0.686100000143028,0,NaN,
samen,0,,0,samen,12.1809999999999,2.50229999995236,0,NaN,
kust,0,,0,kust,9.89209999990464,0.607900000095356,0,NaN,
maken,0,,0,maken,11.7485,0.784900000095377,0,NaN,
liefje,0,,0,liefje,8.09799999999996,1.26850000000002,0,NaN,
aanraden,0,,0,aanraden,7.4753999998569,0.557700000047703,0,NaN,
slak,0,,0,slak,3.02449999999999,0.707599999904687,0,NaN,
nakijken,0,,0,nakijken,18.5787999999523,3.10520000004772,0,NaN,
opheffen,0,,0,opheffen,12.7307999999523,0.544200000047681,0,NaN,
totaal,0,,0,totaal,5.61559999990459,0.50100000000009,0,NaN,
blik,0,,0,blik,3.97310000014295,0.541200000047752,0,NaN,
aandelen,0,,0,aandelen,7.59210000014309,0.541200000047638,0,NaN,
laag,0,,0,laag,3.14189999985695,0.45799999999997,0,NaN,
zwart,0,,0,zwart,8.19129999995232,0.724200000047745,0,NaN,
kabel,0,,0,kabel,6.24659999990467,0.518400000095426,0,NaN,
klimmen,0,,0,klimmen,5.33270000004768,0.733599999904754,0,NaN,
vinger,0,,0,vinger,5.88209999990477,1.20170000004759,0,NaN,
snoep,0,,0,snoep,9.69139999985691,0.575300000190737,0,NaN,
knie,0,,0,knie,14.0765999999046,2.25950000000012,0,NaN,
anarchie,0,,0,anarchie,11.1136999998093,0.554000000000087,0,NaN,
boeien,0,,0,boeien,7.97920000004774,0.4517999999523,0,NaN,
voorraad,0,,0,voorraad,13.0811000001431,0.920200000047544,0,NaN,
lokken,0,,0,lokken,3.31349999999998,0.958399999856965,0,NaN,
aanzien,0,,0,aanzien,7.15770000004773,0.571799999952191,0,NaN,
mist,1,mist,1,mist,NaN,0.575299999952222,1,4.59290000009537,
afnemen,0,,0,afnemen,10.7318999998568,0.602700000047889,0,NaN,
aarzelen,0,,0,aarzelen,4.41540000009536,0.617099999904667,0,NaN,
keihard,0,,0,keihard,11.1139000000956,0.61909999990462,0,NaN,
dubbel,0,,0,dubbel,6.08259999990469,0.479499999999916,0,NaN,
blijven,1,blijven,1,blijven,NaN,0.491999999999962,1,7.67970000004766,
blad,0,,0,blad,2.9992999999522,0.774800000190908,0,NaN,
parel,0,,0,parel,4.57300000000009,0.44399999999996,0,NaN,
zweven,0,,0,zweven,10.4305000000002,0.453999999999951,0,NaN,
weeshuis,0,,0,weeshuis,6.10730000019066,0.617899999856945,0,NaN,
geliefd,0,,0,geliefd,5.5470999999045,0.60290000009536,0,NaN,
oprotten,0,,0,oprotten,3.64310000014302,0.585099999904742,0,NaN,
laken,0,,0,laken,4.30610000014303,0.575500000000147,0,NaN,
slagen,0,,0,slagen,3.27270000004773,0.453400000095371,0,NaN,
openbaar,1,openbaar,1,openbaar,NaN,0.831100000143124,1,12.9292999999523,
kleren,0,,0,kleren,6.84789999985696,1.15570000004777,0,NaN,
komisch,0,,0,komisch,8.29879999995228,0.488900000095327,0,NaN,
jurk,0,,0,jurk,18.5796999998092,5.95830000019077,0,NaN,
waken,0,,0,waken,5.70740000009528,0.507099999904767,0,NaN,
mand,0,,0,mand,5.64040000009527,0.458499999999958,0,NaN,
vlek,0,,0,vlek,3.30680000019083,0.491699999809271,0,NaN,
zingen,0,,0,zingen,6.25700000000006,0.475500000000011,0,NaN,
moes,0,,0,moes,3.32339999985675,0.476499999999987,0,NaN,
baron,0,,0,baron,6.58290000009538,0.485299999952304,0,NaN,
wagon,0,,0,wagon,6.23019999980943,0.451100000143015,0,NaN,
geld,0,,0,geld,4.88829999995232,0.543200000047818,0,NaN,
maling,0,,0,maling,9.7835,0.637700000047744,0,NaN,
strikken,0,,0,strikken,5.78150000000005,0.733900000095218,0,NaN,
weigeren,0,,0,weigeren,10.9140999999045,1.01959999990481,0,NaN,
lever,0,,0,lever,3.56459999990466,0.81840000009538,0,NaN,
steek,0,,0,steek,3.39179999995235,0.491799999952264,0,NaN,
stal,0,,0,stal,2.82400000000007,0.691600000142898,0,NaN,
rijp,0,,0,rijp,4.70769999980917,0.544900000095367,0,NaN,
waarop,0,,0,waarop,5.16329999995219,0.841599999904702,0,NaN,
uitdelen,0,,0,uitdelen,10.0977999999525,0.6385999999045,0,NaN,
woestijn,0,,0,woestijn,12.2963999998569,0.536499999999933,0,NaN,
muziek,0,,0,muziek,5.09909999990464,0.5007000000478,0,NaN,
ticket,0,,0,ticket,6.399399999857,0.467499999999973,0,NaN,
besmet,0,,0,besmet,12.2897999999523,0.524900000095386,0,NaN,
middelen,0,,0,middelen,6.73270000004777,0.551099999904636,0,NaN,
site,1,site,1,site,NaN,0.552500000000009,1,5.38300000000004,
aanzoek,0,,0,aanzoek,6.58179999995241,0.484299999952327,0,NaN,
vuur,0,,0,vuur,3.30920000004767,0.491200000047684,0,NaN,
gebit,0,,0,gebit,4.8745999999046,0.485400000095296,0,NaN,
jasje,1,jasje,1,jasje,NaN,0.539700000047787,1,8.09309999990455,
zuster,0,,0,zuster,11.0732000000476,0.561599999904729,0,NaN,
mode,0,,0,mode,3.13990000009539,0.75779999995234,0,NaN,
redding,0,,0,redding,7.23900000000003,0.510400000095387,0,NaN,
jagen,0,,0,jagen,9.11370000004786,0.446299999952316,0,NaN,
getuigen,1,getuigen,1,getuigen,NaN,0.520099999904687,1,8.05070000004753,
nodig,0,,0,nodig,9.69810000014309,0.554799999952365,0,NaN,
spanning,0,,0,spanning,7.44889999985685,0.669900000095367,0,NaN,
techniek,0,,0,techniek,13.7807999999523,0.864299999952436,0,NaN,
