nlLet,letter,readingTime,checkingTime
k,k,1.519199999988075,5.0745000000000005
t,t,1.5214000000059542,3.172900000005967
m,m,1.5172999999970216,4.809399999991058
q,q,1.5212000000029775,4.871200000002986
b,b,1.5144999999999982,3.340400000005957
p,p,1.5135999999940424,6.63209999999404
r,r,1.5238000000119314,8.347000000000008
f,f,1.515500000000003,6.5038999999910345
l,l,1.5170000000000243,3.9859000000059552
e,e,1.5028999999910582,3.2426000000089346
o,o,1.5049999999999955,3.2700000000000102
g,g,1.503700000002965,2.8460999999940384
y,y,1.5220999999940545,5.079600000008952
s,s,1.5089999999999861,4.10829999999703
v,v,1.5114999999999839,4.65570000000298
h,h,1.5049999999999955,3.63900000000001
u,u,1.522500000000008,3.14879999999701
j,j,1.510099999994054,2.2527000000029602
c,c,1.5102000000029818,3.974500000000006
i,i,1.5057999999970093,8.665299999997018
n,n,1.5160000000000196,4.885900000005961
d,d,1.5217000000029657,3.0513999999910766
a,a,1.5219000000059566,2.4337999999970066
x,x,1.505500000000012,2.197400000005956
w,w,1.510899999991068,1.9481000000089352
z,z,1.5040999999940254,2.3507999999970366
m,m,1.5041000000089468,5.012399999991061
a,a,1.511400000005949,3.044799999997025
n,n,1.5251000000089334,3.1771999999880904
u,u,1.5026000000089539,1.9944999999999595
i,i,1.5055000000000405,4.182599999994011
k,k,1.5036000000089302,3.0857999999970502
w,w,1.521399999991047,1.517900000005966
g,g,1.5215000000000032,2.694099999994023
y,y,1.5190000000000055,1.7986000000089462
b,b,1.5218999999910352,3.558600000008937
f,f,1.526200000002973,3.6925999999940586
c,c,1.5090000000000146,2.179599999994025
z,z,1.5038000000119496,2.883299999997007
l,l,1.5078999999910252,2.662300000011953
q,q,1.5126999999880582,2.075600000008933
x,x,1.5155000000000314,1.5889999999999986
j,j,1.5045999999940136,1.649000000000001
d,d,1.522799999997062,1.5754000000059136
t,t,1.5175999999940473,1.9614000000059946
p,p,1.503900000005956,2.575499999999977
h,h,1.517499999999984,1.7515999999940846
v,v,1.5089000000059514,3.1984999999999673
r,r,1.5041999999880886,2.3600000000000136
e,e,1.5065000000000168,2.186499999999967
s,s,1.5187000000029798,3.873299999997016
o,o,1.5023000000119282,2.721599999994055
o,o,1.5195999999940568,3.1693000000119014
a,a,1.501699999988091,1.8534000000059336
u,u,1.5085000000000264,2.555400000005932
d,d,1.515299999997012,1.7258999999910998
m,m,1.5076000000089493,1.8267999999969788
s,s,1.511400000005949,2.037599999994086
h,h,1.523499999999956,2.637700000003008
f,f,1.5147000000029607,2.414799999997058
i,i,1.5247000000029516,9.371799999997052
y,y,1.5105999999940423,4.05499999999995
g,g,1.5152999999970689,5.764800000011917
b,b,1.5187999999969861,2.9633999999910543
r,r,1.5278000000119505,2.1291999999880886
l,l,1.5186000000089166,2.0442999999970084
e,e,1.5127999999970143,2.2452999999970302
v,v,1.5103000000119096,2.496500000000026
t,t,1.5175999999940473,3.0579000000059295
z,z,1.504799999997033,3.5500999999940177
c,c,1.5120000000000005,2.2197000000030016
k,k,1.510099999994054,4.7231000000089125
j,j,1.5074999999999932,2.791899999991074
w,w,1.5154000000059682,1.7289000000059787
n,n,1.5116999999880818,1.70980000001191
q,q,1.5109999999999673,1.8932999999970548
x,x,1.5063999999910607,1.7223000000118986
p,p,1.5138999999910538,1.948900000005949
u,u,1.5225000000000364,1.746099999994044
a,a,1.5079000000059182,1.9035999999940714
k,k,1.5057999999970093,2.783300000011934
e,e,1.5077999999970189,1.8394999999999868
w,w,1.5203999999910707,2.0640000000000214
n,n,1.517400000005921,1.72859999999406
l,l,1.5082000000030007,2.530100000008929
v,v,1.5084999999999695,2.4751999999880923
h,h,1.5261000000089666,3.5579999999999927
z,z,1.5223999999910234,2.634999999999991
p,p,1.5214000000059968,2.7732999999969934
j,j,1.4999000000059937,2.0818999999910943
b,b,1.5099000000059277,2.9340999999939754
d,d,1.5193000000118673,1.6696999999880973
f,f,1.5166000000090207,2.4097000000028856
c,c,1.5120999999941205,3.2274000000059004
m,m,1.5086999999881527,3.635400000005916
g,g,1.5192000000030248,3.448700000002873
x,x,1.505299999997078,1.5515000000000327
s,s,1.5183999999910611,4.958499999999958
i,i,1.5156000000089307,14.242799999997033
r,r,1.5094000000059395,4.016899999991097
t,t,1.5254000000059023,4.244799999997099
o,o,1.510799999996948,3.7725000000000364
q,q,1.5181000000089853,5.858399999990979
y,y,1.5111000000089234,5.338500000000067
a,a,1.5132999999970025,3.13900000000001
h,h,1.5270000000000437,3.403399999991052
e,e,1.5194999999999936,2.572499999999991
n,n,1.5146000000089543,10.68670000000293
b,b,1.5120000000000573,2.9905999999939468
v,v,1.517099999994116,2.5877000000029966
r,r,1.5269000000058668,3.1637999999970816
k,k,1.5250999999940404,2.429300000011949
x,x,1.5077999999970189,4.100700000002917
w,w,1.5197999999970762,3.25
i,i,1.5224999999999227,2.283999999999992
u,u,1.5163999999911084,1.552400000005946
d,d,1.5194000000059305,4.645899999991116
p,p,1.5149000000059232,4.599599999994098
m,m,1.5157999999969434,4.063300000011964
j,j,1.5159999999999627,4.268399999991061
z,z,1.5187999999970998,2.948800000011829
o,o,1.517599999994104,3.6907000000029484
c,c,1.5220999999939977,5.722500000000082
f,f,1.5071000000089043,5.33299999999997
y,y,1.517099999994116,48.23570000000291
t,t,1.512200000002963,5.1593999999911375
s,s,1.5152000000030057,4.574200000002975
g,g,1.5093999999910466,4.151200000002973
q,q,1.5141000000089662,3.2330999999940104
l,l,1.5212000000029775,2.424799999997049
z,z,1.5209999999999582,2.4984000000059723
g,g,1.5188999999910493,3.8262000000029275
y,y,1.521900000005985,7.5715000000000146
c,c,1.5128999999910775,6.9594999999999345
k,k,1.505299999997078,3.7598000000118645
l,l,1.517099999994116,5.649599999994052
p,p,1.5218000000119218,2.8094999999999573
u,u,1.5146999999881245,2.6662000000029593
m,m,1.5234000000059496,1.9122000000029402
r,r,1.5195999999940568,4.07270000000301
w,w,1.5053999999910275,2.08480000001191
e,e,1.5055999999940468,4.287599999994086
f,f,1.5238000000118745,4.158999999999992
a,a,1.5085999999940896,10.870900000005918
x,x,1.5120000000000573,4.331299999996986
q,q,1.5153999999910184,5.678200000003017
j,j,1.5202999999970643,4.392499999999927
b,b,1.5098000000119782,1.8275999999940495
d,d,1.5137999999969907,2.912100000008877
o,o,1.5215999999941232,4.046200000002955
i,i,1.5083999999910702,2.6304999999999836
h,h,1.5159999999999627,1.7602000000030102
t,t,1.50750000000005,3.7719000000058713
n,n,1.5122000000030766,2.70799999999997
v,v,1.5249999999999773,3.1903999999910866
s,s,1.5049999999999955,2.1392000000029157
e,e,1.5159000000060132,14.85459999999398
r,r,1.5074000000059868,6.156899999991083
s,s,1.5016000000089207,2.063799999997059
j,j,1.5225999999939859,4.5226000000089925
u,u,1.5181999999880418,2.261500000000069
p,p,1.5243000000118627,2.1981999999881054
b,b,1.5213000000119337,7.21639999999104
g,g,1.516600000008907,1.995999999999981
n,n,1.5098999999911484,1.9219000000059623
a,a,1.5127000000029511,2.157199999988052
w,w,1.5238000000118745,6.726399999991145
i,i,1.5242000000029066,3.60179999999707
h,h,1.514799999996967,2.9294000000060123
t,t,1.510900000005904,6.8411999999881346
f,f,1.5163000000119382,6.641199999988089
k,k,1.502999999999929,3.9365000000000236
o,o,1.5185000000000173,4.334100000009016
y,y,1.518899999991163,5.1413000000118245
z,z,1.5081999999881646,5.208100000008926
q,q,1.51299999999992,4.111200000003009
m,m,1.5190999999940686,2.3497999999970034
d,d,1.5239999999998872,1.6939000000061242
c,c,1.5227999999970052,5.463299999996934
x,x,1.5140000000001237,1.8215000000000146
v,v,1.5147000000029038,4.4317000000030475
l,l,1.506299999996827,4.3102000000030785
