nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
schaamte,0.0,,False,schaamte,3.7369000000953676,10.274900000095368,0,
gerucht,0.0,,False,gerucht,4.566799999952316,0.6984999999999957,0,
vlek,0.0,,False,vlek,5.619999999999997,1.4025000000000034,0,
gezond,0.0,,False,gezond,3.631999999999998,0.5176999998092668,0,
bever,0.0,,False,bever,3.869099999904634,0.8677000000476838,0,
opheffen,0.0,,False,opheffen,3.785199999809265,0.4219000000953699,0,
opkomen,1.0,opkomen,True,opkomen,,0.6015000000000015,1,24.523700000047675
baas,0.0,,False,baas,3.594999999999999,1.7001000001430526,0,
schat,0.0,,False,schat,6.805099999904627,0.6554000000953693,0,
anarchie,0.0,,False,anarchie,4.084399999856956,0.6117000000476764,0,
mijnheer,1.0,mijnheer,True,mijnheer,,0.588600000143046,1,19.162000000000006
seizoen,0.0,,False,seizoen,4.652500000000003,3.3755999999046367,0,
daarheen,0.0,,False,daarheen,3.5511000001430375,3.325099999904637,0,
poes,0.0,,False,poes,3.5607000000476887,0.5045000000000073,0,
oceaan,0.0,,False,oceaan,3.9054999999999893,0.6307000000476819,0,
aarzelen,0.0,,False,aarzelen,3.660399999856935,1.9062000000477042,0,
aanraden,0.0,,False,aanraden,4.010399999856958,0.6542000000476662,0,
zout,0.0,,False,zout,3.651100000143032,0.6222999999523324,0,
besmet,0.0,,False,besmet,3.8188000001907483,0.6205999999046412,0,
spanning,0.0,,False,spanning,3.557400000095356,0.5495999999046433,0,
soda,0.0,,False,soda,3.900799999952312,0.8722000000476839,0,
kreeft,0.0,,False,kreeft,3.8181999998092806,0.30270000004767894,0,
jurk,1.0,jurk,True,jurk,,0.6590000000000202,1,13.579199999809248
strikken,0.0,,False,strikken,165.7898999998569,0.7881000001430607,0,
blijven,0.0,,False,blijven,3.5345999999046285,0.7384000000953392,0,
rijp,0.0,,False,rijp,3.783700000047702,0.7057999999522622,0,
weigeren,0.0,,False,weigeren,3.785500000000013,0.7052999999523308,0,
apparaat,0.0,,False,apparaat,3.61690000009537,0.455799999952319,0,
koffie,0.0,,False,koffie,3.6996000001430502,0.7390000000000327,0,
stemming,0.0,,False,stemming,3.6512999999523004,0.7890999999046358,0,
samen,0.0,,False,samen,4.08470000004769,0.6885000000000332,0,
verhaal,0.0,,False,verhaal,5.76849999999996,0.7390999999046812,0,
bleek,0.0,,False,bleek,3.700599999904682,0.4050999999046212,0,
jaar,0.0,,False,jaar,3.7174999999999727,0.4915999999046221,0,
invloed,1.0,invloed,True,invloed,,0.44090000009538244,1,16.615499999999997
bisschop,0.0,,False,bisschop,3.95169999980925,1.0550000000000068,0,
nodig,0.0,,False,nodig,3.608600000143042,0.4755999999046594,0,
driemaal,0.0,,False,driemaal,3.9337999999523277,0.5226000001430293,0,
praat,0.0,,False,praat,4.169300000190731,0.5717999999523613,0,
gedicht,0.0,,False,gedicht,4.603700000047695,4.337099999904638,0,
tekst,0.0,,False,tekst,3.867800000190755,1.105599999904598,0,
getuigen,0.0,,False,getuigen,6.852999999999952,5.194099999904665,0,
huisdier,0.0,,False,huisdier,4.360399999856952,0.9052999999523195,0,
vinger,0.0,,False,vinger,4.017900000095381,0.6377000000476869,0,
mist,0.0,,False,mist,4.051999999999964,0.5889999999999986,0,
excuus,0.0,,False,excuus,4.184000000000026,0.507000000000005,0,
vuur,0.0,,False,vuur,4.453299999952321,0.8666000001430234,0,
weeshuis,0.0,,False,weeshuis,4.316899999856901,1.3559000000952892,0,
aanzien,0.0,,False,aanzien,6.754599999904713,0.47329999995224625,0,
zuster,0.0,,False,zuster,4.13339999985692,2.991400000095382,0,
stof,0.0,,False,stof,4.085000000000036,0.554899999856957,0,
uitlaat,0.0,,False,uitlaat,4.185700000047632,0.7055999999046207,0,
slapen,0.0,,False,slapen,3.85190000009527,0.6719000000954338,0,
waarbij,0.0,,False,waarbij,4.109700000047724,0.5972999999523836,0,
staren,0.0,,False,staren,4.1589000000954,0.6210999999045725,0,
woede,0.0,,False,woede,4.319000000000074,0.7492999999523136,0,
ziek,0.0,,False,ziek,4.995700000047691,0.9080000000000155,0,
komisch,1.0,komisch,True,komisch,,0.5051999998091787,1,16.730999999999995
goedkoop,0.0,,False,goedkoop,4.503400000095326,1.502099999904658,0,
stal,0.0,,False,stal,3.8178999998569907,0.7219000000952747,0,
akkoord,0.0,,False,akkoord,4.353299999952355,0.8205999999046298,0,
woestijn,0.0,,False,woestijn,3.86909999990462,0.6052999999523081,0,
attentie,0.0,,False,attentie,4.535299999952258,0.5714000000954229,0,
klauw,0.0,,False,klauw,4.601299999952289,0.7050000000000409,0,
laken,0.0,,False,laken,3.7077999999523854,0.5984999999999445,0,
maken,0.0,,False,maken,3.885200000047689,0.49870000004762005,0,
geliefd,0.0,,False,geliefd,3.966899999856878,0.4384000000953847,0,
geld,0.0,,False,geld,3.717700000047671,0.5732999999523827,0,
palm,0.0,,False,palm,4.352499999999964,0.4546000001430457,0,
waarop,0.0,,False,waarop,4.492599999904542,1.2890999999046926,0,
keihard,0.0,,False,keihard,190.15759999990462,1.3724000000953538,0,
zaal,0.0,,False,zaal,3.6844999999999573,0.4875000000000682,0,
lust,0.0,,False,lust,3.7019000000954065,0.40599999999994907,0,
vullen,0.0,,False,vullen,3.530600000142954,0.6212999999523845,0,
grappen,0.0,,False,grappen,3.6837999999523845,0.47129999995229355,0,
totaal,0.0,,False,totaal,3.866799999952377,0.5224999999999227,0,
jasje,0.0,,False,jasje,3.5332999999523054,0.35520000004760277,0,
geheim,0.0,,False,geheim,3.601199999809296,0.6227000000476437,0,
geluid,0.0,,False,geluid,3.8340999999046517,0.5893000001907467,0,
steek,0.0,,False,steek,3.884200000047599,2.3235999999046726,0,
steel,0.0,,False,steel,3.8018999998569143,0.5061000001430784,0,
loyaal,0.0,,False,loyaal,3.668700000047693,0.5033999998569243,0,
maaltijd,0.0,,False,maaltijd,3.8012999999523345,0.4217999999523272,0,
jagen,0.0,,False,jagen,3.902200000047742,0.47129999995229355,0,
mand,0.0,,False,mand,3.584600000143041,0.7717000000476446,0,
twijfel,0.0,,False,twijfel,3.719000000000051,0.6044000000953247,0,
nakijken,0.0,,False,nakijken,4.050099999904546,0.7559000000953802,0,
beseffen,0.0,,False,beseffen,3.6007999999524145,0.6414999999999509,0,
plek,1.0,plek,True,plek,,0.4401000001430475,1,7.303799999952275
strak,0.0,,False,strak,4.201600000143117,5.27670000004764,0,
snuiven,0.0,,False,snuiven,4.0,0.9725000000000819,0,
toegeven,0.0,,False,toegeven,3.8689000000954366,0.7378999998569498,0,
slagen,0.0,,False,slagen,3.851900000095384,0.7578999998569316,0,
wegen,1.0,wegen,True,wegen,,0.5180000000000291,1,14.012900000095442
schatten,0.0,,False,schatten,3.9512000000476064,2.123400000095444,0,
