welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,84.3346,0,14,14,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,15.9671,0,15,15,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,15.9999,0,16,16,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,3.4167,0,17,17,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,4.7668,0,18,18,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,55.9676,0,19,19,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,15.4839,0,20,20,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,13.233,0,21,21,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,13.1831,0,22,22,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,39.5169,0,23,23,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,8.5001,0,24,24,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,29.217,0,25,25,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,10.4495,1,0,26,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,6.7667,1,1,27,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,13.467,1,2,28,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,3.0834,1,3,29,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,18.3841,1,4,30,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,9.5168,1,5,31,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,0.7835,1,6,32,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,1.4166,1,7,33,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,1.2,1,8,34,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,1.1329,1,9,35,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,2.6829,1,10,36,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
