welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
0.548148148,-0.125,1,0,0,15.9889,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,0.548148148,-0.125,1,0,0,9.7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,0.549074074,-0.124074074,1,0,0,26.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,0.549074074,-0.124074074,1,0,0,7.2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,7.217,0,0,0,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,5.5335,0,1,1,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,5.1166,0,2,2,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,9.8504,0,3,3,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,0.4494,0,4,4,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,6.967,0,5,5,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,2.0327,0,6,6,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,1.3997,0,7,7,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.342592593,-0.180555556,1,0,0,0.8332,0,8,8,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.34537037,-0.197222222,1,0,0,1.8333,0,9,9,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.346296296,-0.197222222,1,0,0,1.6,0,10,10,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00020,2023-08-18_12h06.40.167,vbt_B1_day1,2022.2.4,Win32,59.79073244,,,,,,,,,,,,,,,,,,,0.346296296,-0.197222222,1,0,0,2.2168,0,11,11,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
