nlLet,letter,readingTime,checkingTime
l,l,1.514400000095364,13.583500000000015
n,n,1.5105999999046276,12.325000000000017
b,b,1.5079000000953613,5.956099999904637
p,p,1.5078000001907412,4.426499999999976
a,a,1.5170000000000243,3.5707999999522997
w,w,1.5010000000000048,5.381899999856955
c,c,1.5079999999999814,1.8338000001907346
d,d,1.5145999999046467,2.6637999999523174
v,v,1.5241000001430507,5.169799999952318
g,g,1.5017999999523113,4.929000000000002
t,t,1.512700000047687,5.36699999999999
y,y,1.5207000000476967,3.113399999856938
s,s,1.5166000001430575,2.3395999999046353
f,f,1.5264000000953502,3.099500000000006
j,j,1.5165000000000077,1.612499999999983
h,h,1.526199999809279,1.8659000000953654
m,m,1.5149000000953663,2.5459999999999923
o,o,1.5062999999523186,1.8912999999523379
x,x,1.5082999999522997,2.1877999999523183
k,k,1.5307000000476876,2.904100000143046
z,z,1.5115000000000123,2.9680999999046094
i,i,1.5147000000476964,5.7162999999523265
r,r,1.5172999999523142,3.154799999952303
e,e,1.5204000000953783,1.7757000000476637
u,u,1.5232000000477228,3.839999999999975
q,q,1.5154999999999745,3.809299999952316
u,u,1.5065999999046653,4.3361000001430625
w,w,1.511599999904604,2.3159000000953824
y,y,1.5087999999523163,2.1665999999046335
i,i,1.515299999952333,3.306400000095323
r,r,1.5142999999523568,4.627700000047639
b,b,1.5267999999523454,2.136900000095352
n,n,1.5144999999999982,4.0392000000476855
t,t,1.5240999999046494,2.6255999999046367
k,k,1.5249999999999773,1.9700000000000273
c,c,1.5133000001907249,2.209799999952338
f,f,1.5175999999046326,3.2289000000953365
x,x,1.511299999952314,2.3344000000953997
g,g,1.5122999999522904,2.4533999998569698
d,d,1.520800000190718,2.930399999856945
h,h,1.5117999999523022,2.353499999999997
l,l,1.5169000000954043,1.683499999999981
a,a,1.5162999999523095,2.1236000001430853
q,q,1.516399999856901,3.7657999999523213
v,v,1.5131000001430834,3.0022999999522995
p,p,1.5157999999523213,2.6917000000476605
j,j,1.5172999999523427,3.4076000001430202
z,z,1.5108999998569743,1.946400000095366
e,e,1.5173999998569343,4.224900000095374
m,m,1.515299999952333,4.585700000047666
s,s,1.516700000047706,4.450599999904625
o,o,1.5097999999522926,4.067700000047694
b,b,1.5247000000476874,2.184299999952316
i,i,1.501299999952323,3.6491000001430507
w,w,1.5167999999522976,2.3740000000000236
h,h,1.5160999999046112,1.8669000000953702
j,j,1.5095000000000027,1.73599999999999
g,g,1.5179000000953806,7.873699999809276
q,q,1.5106000001430289,1.5257000000477206
k,k,1.5213999998569534,2.0379000000953624
n,n,1.516999999999996,1.9997999999523017
r,r,1.507299999952295,1.6665000000000418
z,z,1.5222000000476896,1.8967000000476446
a,a,1.515299999952333,1.6027000000476619
d,d,1.5152000000476846,6.110000000000014
e,e,1.5052999999523422,3.0087999999523163
l,l,1.5107000000476773,3.0777999999522763
m,m,1.5259000000954188,2.9009999999999536
u,u,1.5055000000000405,3.4744999999999777
c,c,1.510699999809276,4.35290000009536
s,s,1.508900000095366,3.3444999999999823
o,o,1.5144999999999982,4.718699999809303
t,t,1.5118000001907035,2.6440000000000055
f,f,1.5190000000000055,2.316500000000019
x,x,1.5146999998092383,1.5577000000477028
y,y,1.5187999999523072,2.478700000047695
v,v,1.5254000000953738,3.1075999999046076
p,p,1.5096000001430525,3.611699999809275
p,p,1.5041000001430689,2.110399999856952
c,c,1.5103000001906821,1.7251999998092629
g,g,1.5103000001907958,5.480699999809133
b,b,1.513200000047732,3.539299999952277
a,a,1.5196000001431003,2.9267999999523227
z,z,1.5132000000476182,3.080500000000029
u,u,1.5060999999046771,3.3714000000953774
q,q,1.5103999998568725,3.4853000001908185
x,x,1.5118999998569507,1.5746000001430502
j,j,1.5083999998569197,2.1522999999523336
v,v,1.5194000000952883,2.934500000000071
h,h,1.5240999999045926,2.0513000001907358
d,d,1.5243999998569961,2.529400000095279
i,i,1.5108999998569743,8.655300000190778
e,e,1.5111999998092642,1.5339000000954002
s,s,1.5154000000952692,1.532000000000039
f,f,1.500799999952278,3.2345000000000255
o,o,1.5222000000477465,1.688299999952278
m,m,1.5102999999522808,1.90920000004769
l,l,1.5082000000477365,1.61879999995233
n,n,1.51299999999992,2.912899999857018
t,t,1.5157000000476728,3.453400000095371
r,r,1.5130000000000337,6.600099999904614
w,w,1.5262999999522435,2.080200000047739
k,k,1.5186000001430102,2.57779999995239
y,y,1.5127999999522217,6.208799999952362
t,t,1.516200000047661,3.858000000000061
p,p,1.515099999904578,1.906300000190754
l,l,1.5097999999522926,1.6825000000000045
e,e,1.5100999999046962,2.86590000009528
w,w,1.517200000047751,2.6061999998092915
x,x,1.5226000001430293,3.7454999999999927
g,g,1.5205999999045616,5.178299999952401
j,j,1.5254000000953738,10.03040000009537
r,r,1.5089999999999009,3.57059999990463
u,u,1.5100999999046962,1.6196000001430093
y,y,1.5152000000476846,2.134999999999991
h,h,1.5247999999523927,3.5957999999523054
d,d,1.5249999999999773,1.651099999904659
a,a,1.5269000000953383,3.9965999999046744
n,n,1.5248000001906803,2.0563999998569216
m,m,1.5097999999524063,4.252400000095349
i,i,1.5179000000953238,2.252599999904646
f,f,1.5255999999046708,3.4044999999999845
c,c,1.516300000190654,4.723099999904662
b,b,1.51370000004772,5.328899999856958
v,v,1.5194999999999936,3.7346000001430184
s,s,1.5092999999523045,2.057900000095401
o,o,1.512899999856927,1.6031000001430584
q,q,1.5155999999046799,2.2529000000953374
k,k,1.50649999999996,1.8572999999523745
z,z,1.5112999999522572,2.3264000000954184
q,q,1.5111999998092642,2.3070000000000164
w,w,1.5024999999999409,1.884400000095411
d,d,1.5152999999522763,6.987400000095363
e,e,1.509999999999991,4.047299999952315
k,k,1.5039000000954275,3.7071999998092906
h,h,1.5089000000953092,1.9894000000954293
z,z,1.5163999998568443,1.6827000000477028
u,u,1.5107999999523827,2.1399999999999864
g,g,1.5147000000476964,1.655200000047671
c,c,1.5119999999999436,1.7612999999523709
v,v,1.5157999999522644,2.0400000000000773
x,x,1.5247000000476874,1.726400000095282
b,b,1.5085000000000264,3.0582999999522826
l,l,1.5132999999523236,1.5819999999999936
p,p,1.5177000000477392,4.0499999999999545
i,i,1.5255000000000791,2.985500000000002
j,j,1.525599999904557,3.4616000001431075
o,o,1.5263999998569489,2.9304000000953465
y,y,1.5067999999523636,2.4634999999999536
t,t,1.5170999999046444,1.5497000000476646
m,m,1.5164000000953592,6.471000000000004
n,n,1.5100999999046962,1.848900000095341
f,f,1.5174999999999272,2.024000000000001
a,a,1.5252999999523809,2.8359000000953074
s,s,1.5260000000000673,5.670099999904551
r,r,1.5087000000477246,3.57709999990459
c,c,1.5157999999523781,4.95020000004763
r,r,1.525799999952369,7.443499999999972
j,j,1.5109000000953756,4.3840000000000146
e,e,1.5232000000477228,3.4354999999999336
l,l,1.5122000000477556,6.384999999999991
y,y,1.5091999998091978,2.0205000000000837
u,u,1.5112000000476655,10.031200000047647
w,w,1.5085000000000264,3.6602000000476664
d,d,1.5170999999046444,7.271499999999946
p,p,1.5255000000000791,2.641700000047649
o,o,1.524499999999989,1.866599999904679
a,a,1.515900000095371,4.041999999999916
x,x,1.524000000000001,4.329900000095449
i,i,1.5098999998568843,2.231999999999971
k,k,1.522900000095433,2.667500000000018
n,n,1.5057999999522735,2.817099999904599
m,m,1.5203000001907867,1.635499999999979
h,h,1.5243999998569961,2.6022000000476737
q,q,1.515900000095371,2.4025999999046235
s,s,1.5137000000476064,7.044700000047783
g,g,1.5071999998092451,2.5552000000476482
b,b,1.511799999952359,1.6153000001907003
f,f,1.5197999999522835,14.833799999952362
z,z,1.5095999999045944,1.5515000000000327
t,t,1.517500000000041,2.1219999999999573
v,v,1.5087000000477246,6.450400000095328
