welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.216010335,-0.014190131,1,0,0,0.3969,0,13,13,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.245348985,0.127936707,1,0,0,0.8168,0,14,14,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.259456651,0.146353556,1,0,0,0.1642,0,15,15,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.278158366,0.22311398,1,0,0,0.483,0,16,16,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.276079983,0.164964532,1,0,0,0.4175,0,17,17,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.45862915,0.171525167,1,0,0,0.1672,0,18,18,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.45862915,0.171525167,1,0,0,9.2686,0,19,19,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.133076579,0.117279358,1,0,0,7.7174,0,20,20,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.133076579,0.117279358,1,0,0,0.0836,0,21,21,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.197871229,0.202960307,1,0,0,0.1801,0,22,22,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.197871229,0.202960307,1,0,0,2.2819,0,23,23,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.196600003,0.192040202,1,0,0,0.485,0,24,24,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.196600003,0.192040202,1,0,0,0.6996,0,25,25,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,0.196600003,0.192040202,1,0,0,15.3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,14.1337,waarbij,,0.204868232,0.067412177,1,0,0,11.3173,0,0,0,136,1,waarbij,images/br_waarbij.png,images/cb_waarbij.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,16.3187,,,0.199738566,0.140832045,1,0,0,2.6193,0,1,1,141,1,knielen,images/br_knielen.png,images/cb_knielen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.9187,,,0.204014418,0.06760671,1,0,0,5.8012,0,2,2,6,1,diep,images/br_diep.png,images/cb_diep.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.9558,,,0.204014418,0.06760671,1,0,0,0.984,0,3,3,83,1,mening,images/br_mening.png,images/cb_mening.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.8749,,,0.204014418,0.06760671,1,0,0,0.9826,0,4,4,110,1,zuster,images/br_zuster.png,images/cb_zuster.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,9.7684,,,0.204014418,0.06760671,1,0,0,0.6483,0,5,5,187,1,opkijken,images/br_opkijken.png,images/cb_opkijken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,10.1531,,,0.204014418,0.06760671,1,0,0,0.7342,0,6,6,135,1,gedicht,images/br_gedicht.png,images/cb_gedicht.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,14.1952,,,0.204014418,0.06760671,1,0,0,0.7485,0,7,7,107,1,maling,images/br_maling.png,images/cb_maling.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,14.6991,,,0.204014418,0.06760671,1,0,0,0.5342,0,8,8,129,1,verhaal,images/br_verhaal.png,images/cb_verhaal.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,12.7173,,,0.204014418,0.06760671,1,0,0,0.7017,0,9,9,182,1,bijkomen,images/br_bijkomen.png,images/cb_bijkomen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,10.1741,woestijn,,0.156154175,0.129820896,1,0,0,2.3003,0,10,10,179,1,woestijn,images/br_woestijn.png,images/cb_woestijn.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,9.9834,akkoord,,0.235100776,0.051398688,1,0,0,2.4164,0,11,11,138,1,akkoord,images/br_akkoord.png,images/cb_akkoord.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,14.2223,,,0.258454454,-0.009363675,1,0,0,1.4346,0,12,12,104,1,zweven,images/br_zweven.png,images/cb_zweven.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,12.9383,,,0.19711141,-0.004421726,1,0,0,0.6498,0,13,13,186,1,voorraad,images/br_voorraad.png,images/cb_voorraad.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.9161,,,0.165903117,-0.058500434,1,0,0,0.4494,0,14,14,78,1,leren,images/br_leren.png,images/cb_leren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.3518,,,-0.112542996,-0.141001858,1,0,0,0.5499,0,15,15,25,1,plek,images/br_plek.png,images/cb_plek.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.2547,,,-0.184667765,-0.006162279,1,0,0,0.5329,0,16,16,105,1,wijlen,images/br_wijlen.png,images/cb_wijlen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.785,,,-0.112951796,-0.112383219,1,0,0,0.4312,0,17,17,115,1,kleren,images/br_kleren.png,images/cb_kleren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.5488,,,0.159302572,-0.035448947,1,0,0,0.5344,0,18,18,82,1,muziek,images/br_muziek.png,images/cb_muziek.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.6202,,,0.101564874,-0.07713406,1,0,0,0.4524,0,19,19,80,1,kanjer,images/br_kanjer.png,images/cb_kanjer.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.2066,traag,,0.628772786,0.043493924,1,0,0,0.5861,0,20,20,56,1,traag,images/br_traag.png,images/cb_traag.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.6674,,,-0.02952535,0.066300998,1,0,0,0.4344,0,21,21,50,1,stoom,images/br_stoom.png,images/cb_stoom.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.6897,,,-0.022195774,0.031058282,1,0,0,0.4479,0,22,22,91,1,gezond,images/br_gezond.png,images/cb_gezond.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.9865,,,0.207572971,-0.028833686,1,0,0,0.4494,0,23,23,33,1,vlek,images/br_vlek.png,images/cb_vlek.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.0561,loyaal,,0.108537733,0.010540025,1,0,0,0.6991,0,24,24,97,1,loyaal,images/br_loyaal.png,images/cb_loyaal.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,7.3828,,,0.410159912,-0.120878906,1,0,0,0.3835,0,25,25,12,1,kust,images/br_kust.png,images/cb_kust.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.4399,,,0.091711426,-0.08558336,1,0,0,0.4823,0,26,26,169,1,oprotten,images/br_oprotten.png,images/cb_oprotten.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.6012,,,0.126164483,-0.032990384,1,0,0,0.4648,0,27,27,128,1,prikken,images/br_prikken.png,images/cb_prikken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.3334,,,0.170328776,0.004540473,1,0,0,0.4332,0,28,28,28,1,stal,images/br_stal.png,images/cb_stal.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,15.0945,,,0.003338759,-0.059467299,1,0,0,0.3982,0,29,29,94,1,oceaan,images/br_oceaan.png,images/cb_oceaan.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,7.6579,,,0.051183133,-0.089398058,1,0,0,0.5171,0,30,30,119,1,liefje,images/br_liefje.png,images/cb_liefje.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.1211,,,0.140358412,-0.078115845,1,0,0,0.7002,0,31,31,45,1,piste,images/br_piste.png,images/cb_piste.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,12.2176,,,0.047039659,-0.090967543,1,0,0,0.5675,0,32,32,174,1,stemming,images/br_stemming.png,images/cb_stemming.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,15.0016,,,0.206824205,-0.05529853,1,0,0,0.5031,0,33,33,143,1,hechten,images/br_hechten.png,images/cb_hechten.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.0835,,,0.1578125,-0.008831855,1,0,0,0.4144,0,34,34,101,1,staren,images/br_staren.png,images/cb_staren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,13.1566,,,0.207603828,-0.069053277,1,0,0,0.416,0,35,35,140,1,blijven,images/br_blijven.png,images/cb_blijven.png,0,,,,,,,,,,,,,,,,,,,,,
