nlLet,letter,readingTime,checkingTime
o,o,1.5270000000000152,135.468
f,f,1.518000000000029,6.432999999999993
v,v,1.5229999999999677,4.629000000000019
q,q,1.5219999999999914,6.009999999999991
j,j,1.5030000000000427,6.448999999999955
g,g,1.516999999999996,4.248000000000104
p,p,1.5219999999999345,4.942000000000007
w,w,1.523999999999944,7.892000000000053
k,k,1.5209999999999582,6.675000000000011
u,u,1.5130000000000337,9.380999999999972
m,m,1.5230000000000246,4.076999999999998
n,n,1.5209999999999582,4.779000000000053
l,l,1.5069999999999482,11.04200000000003
i,i,1.5079999999999814,10.379000000000019
a,a,1.5059999999999718,4.510000000000048
b,b,1.5069999999999482,3.54200000000003
r,r,1.5230000000000246,6.228999999999985
z,z,1.5020000000000664,7.8599999999999
s,s,1.5289999999999964,7.874000000000024
e,e,1.5260000000000105,3.974999999999966
y,y,1.518000000000029,11.733000000000004
d,d,1.5109999999999673,8.13900000000001
h,h,1.509999999999991,5.581000000000017
c,c,1.5010000000000332,6.36099999999999
t,t,1.5190000000000055,14.581999999999994
x,x,1.5,7.937999999999988
a,a,1.5090000000000146,201.76800000000003
w,w,1.5249999999999773,9.995000000000005
k,k,1.5339999999999918,6.212999999999965
o,o,1.5049999999999955,4.447999999999979
v,v,1.5010000000002037,11.98099999999988
g,g,1.509999999999991,4.871999999999957
c,c,1.509999999999991,4.524000000000001
q,q,1.5190000000000055,6.219000000000051
t,t,1.5009999999999764,11.33299999999997
y,y,1.5030000000000427,5.692000000000007
n,n,1.5190000000000055,9.218999999999937
i,i,1.5,4.629000000000019
m,m,1.504000000000019,4.947999999999979
d,d,1.5270000000000437,2.298000000000002
r,r,1.5119999999999436,4.863000000000056
b,b,1.5159999999999627,9.217999999999961
e,e,1.5020000000000664,2.131999999999948
j,j,1.511000000000081,6.306999999999903
l,l,1.5020000000000664,7.697999999999979
s,s,1.5090000000000146,4.475999999999999
z,z,1.504000000000019,9.810999999999922
p,p,1.5030000000000427,3.869000000000028
h,h,1.4990000000000236,7.718999999999937
x,x,1.5080000000000382,5.389999999999986
u,u,1.5009999999999764,7.485000000000014
f,f,1.5209999999999582,5.7280000000000655
i,i,1.5119999999999436,176.4390000000002
v,v,1.5199999999999818,10.071999999999889
y,y,1.5050000000001091,189.0450000000003
d,d,1.5079999999995835,23.411000000000058
u,u,1.5050000000001091,253.63699999999994
m,m,1.5150000000001,249.6239999999998
k,k,1.5160000000000764,2.8220000000001164
a,a,1.5039999999999054,1.5450000000000728
f,f,1.5219999999999345,2.201999999999998
g,g,1.5119999999999436,4.461999999999989
o,o,1.5080000000000382,5.393000000000029
r,r,1.5050000000001091,5.1039999999998145
p,p,1.509999999999991,2.8050000000000637
b,b,1.5140000000001237,1.6829999999999927
x,x,1.5069999999998345,2.9780000000000655
w,w,1.5150000000001,3.592999999999847
n,n,1.4980000000000473,6.397999999999911
e,e,1.5150000000001,4.076999999999998
s,s,1.5070000000000618,3.05399999999986
t,t,1.4909999999999854,2.7660000000000764
z,z,1.52800000000002,4.403999999999996
j,j,1.5260000000000673,2.5119999999999436
h,h,1.5160000000000764,1.5809999999999036
l,l,1.5209999999999582,3.497000000000071
c,c,1.5019999999999527,3.9780000000000655
q,q,1.5059999999998581,6.264000000000124
r,r,1.5160000000000764,4.0659999999998035
q,q,1.5060000000000855,2.2660000000000764
n,n,1.515999999999849,4.198000000000093
y,y,1.502999999999929,4.22199999999998
g,g,1.5110000000001946,3.716999999999871
s,s,1.5009999999999764,2.463999999999942
p,p,1.5160000000000764,2.4809999999999945
h,h,1.5080000000000382,5.002999999999929
c,c,1.512000000000171,3.2489999999997963
e,e,1.5240000000001146,3.19399999999996
f,f,1.525000000000091,3.4909999999999854
d,d,1.5190000000000055,1.6209999999998672
b,b,1.5060000000000855,3.867999999999938
x,x,1.4960000000000946,1.8399999999999181
t,t,1.54099999999994,2.5900000000001455
i,i,1.5039999999999054,2.30600000000004
k,k,1.51299999999992,2.048000000000002
a,a,1.50200000000018,2.6779999999998836
o,o,1.5149999999998727,3.6400000000001
w,w,1.5160000000000764,2.6359999999999673
l,l,1.5139999999998963,2.0570000000000164
u,u,1.4990000000000236,2.775000000000091
m,m,1.5260000000000673,2.29099999999994
j,j,1.5060000000000855,2.5839999999998327
z,z,1.5130000000001473,2.8509999999998854
v,v,1.5170000000000528,2.397999999999911
e,e,1.5090000000000146,2.3920000000000528
m,m,1.518000000000029,2.6669999999999163
j,j,1.5160000000000764,2.119999999999891
q,q,1.5009999999999764,3.798000000000002
f,f,1.522000000000162,1.8329999999998563
c,c,1.512000000000171,1.7149999999999181
i,i,1.5239999999998872,2.3840000000000146
z,z,1.509999999999991,1.8150000000000546
b,b,1.5180000000002565,1.750999999999749
v,v,1.5210000000001855,2.5939999999998236
o,o,1.518000000000029,2.199999999999818
g,g,1.5070000000000618,2.025000000000091
a,a,1.5049999999996544,2.480000000000018
h,h,1.5199999999999818,3.2950000000000728
n,n,1.5010000000002037,5.150000000000091
r,r,1.5219999999999345,1.6599999999998545
l,l,1.5070000000000618,1.8269999999997708
k,k,1.5260000000002947,1.7899999999999636
x,x,1.5050000000001091,2.5149999999998727
w,w,1.518999999999778,3.1469999999999345
s,s,1.5210000000001855,2.0450000000000728
y,y,1.512000000000171,1.738999999999578
d,d,1.5020000000004075,1.5859999999997854
t,t,1.5149999999998727,1.6520000000000437
p,p,1.499000000000251,1.5799999999999272
u,u,1.5270000000000437,2.705999999999676
n,n,1.5,1.886000000000422
x,x,1.5159999999996217,1.5489999999999782
b,b,1.5190000000002328,2.0470000000000255
z,z,1.5109999999999673,1.78899999999976
i,i,1.5030000000001564,1.6990000000000691
g,g,1.5070000000000618,7.543999999999869
k,k,1.5010000000002037,2.731999999999971
y,y,1.5219999999999345,2.244000000000142
p,p,1.5199999999999818,1.7979999999997744
a,a,1.5199999999999818,1.7280000000000655
f,f,1.5039999999999054,1.6480000000001382
l,l,1.518000000000029,2.6649999999999636
m,m,1.5219999999999345,1.8949999999999818
e,e,1.5219999999999345,2.4980000000000473
h,h,1.5160000000000764,1.5459999999998217
s,s,1.524000000000342,2.4789999999998145
q,q,1.5019999999999527,3.1970000000001164
w,w,1.5029999999997017,3.0289999999999964
j,j,1.5040000000003602,3.213999999999942
t,t,1.5099999999997635,2.26700000000028
c,c,1.5099999999997635,2.3650000000002365
o,o,1.5029999999997017,2.5790000000001783
r,r,1.5039999999999054,1.912000000000262
v,v,1.506999999999607,2.649000000000342
