nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
mist,1,.e.t,0,mist,NaN,5.09260000002385,1,19.4997999999523,
slak,0,,0,slak,2.56410000002384,36.2107000000477,0,NaN,
maling,0,,0,maling,9.64450000000001,18.1053999999761,0,NaN,
blijven,1,clempit,0,blijven,NaN,9.76129999995231,1,35.3817000000477,
mand,0,,0,mand,62.922,1.43059999990464,0,NaN,
heengaan,0,,0,heengaan,4.36319999992847,5.72949999999997,0,NaN,
bedoelen,0,,0,bedoelen,5.37760000002388,2.6967999999523,0,NaN,
stoom,0,,0,stoom,2.62710000002386,1.3652999999523,0,NaN,
diep,0,,0,diep,2.70989999997619,0.53260000002382,0,NaN,
wegen,0,,0,wegen,2.79580000007155,0.664899999976114,0,NaN,
grappen,0,,0,grappen,3.64710000002384,1.03199999999998,0,NaN,
klimmen,0,,0,klimmen,3.69639999997617,2.21550000000002,0,NaN,
blad,0,,0,blad,3.4787000000477,0.714599999904635,0,NaN,
aanzoek,0,,0,aanzoek,2.68200000000002,0.518799999952307,0,NaN,
staren,1,oktart,0,staren,NaN,5.81629999995232,1,20.5767000000477,
vlek,0,,0,vlek,2.86160000002383,0.815700000047684,0,NaN,
aandelen,0,,0,aandelen,6.04700000000003,3.84730000007153,0,NaN,
mijn,0,,0,mijn,2.7812000000477,0.720200000047669,0,NaN,
flirt,1,.lar.,0,flirt,NaN,2.74990000009535,1,15.5782999999523,
doodmoe,0,,0,doodmoe,6.66279999995231,1.49879999995233,0,NaN,
knaap,1,knaap,1,knaap,NaN,1.5002000000477,1,10.1783999999762,
mode,0,,0,mode,3.29349999999999,0.899800000071536,0,NaN,
kanjer,0,,0,kanjer,2.62929999995237,0.714600000023836,0,NaN,
kasteel,0,,0,kasteel,3.06260000002385,0.832200000047692,0,NaN,
stiekem,0,,0,stiekem,2.9641999999285,0.998300000071538,0,NaN,
invloed,0,,0,invloed,2.82940000009535,0.714899999976183,0,NaN,
geit,0,,0,geit,2.79650000000004,0.681300000071474,0,NaN,
eetlust,0,,0,eetlust,2.73149999999998,1.1825,0,NaN,
snuiven,1,snuiven,1,snuiven,NaN,1.12650000000008,1,95.3716999999284,
zout,1,zout,1,zout,NaN,0.766599999904656,1,166.346300000071,
knielen,1,knielen,1,knielen,NaN,2.16700000000003,1,20.7816000000239,
attentie,0,,0,attentie,2.58320000004767,1.49939999997616,0,NaN,
loyaal,0,,0,loyaal,2.56629999995232,0.666200000047638,0,NaN,
excuus,0,,0,excuus,2.8367999999524,0.63149999999996,0,NaN,
rijp,0,,0,rijp,7.12720000004765,0.749500000000012,0,NaN,
rechten,0,,0,rechten,2.65899999999999,0.813999999999965,0,NaN,
schat,0,,0,schat,3.87670000004766,0.781799999952341,0,NaN,
vullen,0,,0,vullen,3.10910000002389,0.933200000047691,0,NaN,
baron,0,,0,baron,3.62699999999995,0.703700000047661,0,NaN,
jasje,1,jasje,1,jasje,NaN,0.582499999999982,1,71.971,
zingen,0,,0,zingen,2.64319999992847,0.698499999999967,0,NaN,
gerucht,0,,0,gerucht,2.83030000007147,0.530899999976214,0,NaN,
