welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.12962963,-0.19722225,1,0,0,1.3898,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,-0.12962963,-0.19722225,1,0,0,0.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.12962963,-0.19722225,1,0,0,0.1807,0,0,0,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.12962963,-0.19722225,1,0,0,0.2422,0,1,1,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.12962963,-0.19722225,1,0,0,0.43,0,2,2,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.12962963,-0.19722225,1,0,0,0.1383,0,3,3,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.122222194,-0.178703732,1,0,0,0.389,0,4,4,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.122222194,-0.178703732,1,0,0,0.1314,0,5,5,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.122222194,-0.178703732,1,0,0,0.8327,0,6,6,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00107,2023-11-20_11h33.36.671,vbt_B2_day2,2022.2.4,Win32,143.8848921,,,,,,,-0.122222194,-0.178703732,1,0,0,0.3682,0,7,7,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
