welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.116982366,-0.242439369,1,0,0,4.1512,0,13,13,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.116982366,-0.242439369,1,0,0,3.0347,0,14,14,5,1,f,images/br_f.png,images/cb_f.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.120305709,-0.247092098,1,0,0,0.4674,0,15,15,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.120305709,-0.249086116,1,0,0,2.0185,0,16,16,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.128946474,-0.269690927,1,0,0,3.1018,0,17,17,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.136922545,-0.265702891,1,0,0,0.1292,0,18,18,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.136922545,-0.265702891,1,0,0,0.1507,0,19,19,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.152874689,-0.296942546,1,0,0,1.0337,0,20,20,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.152874689,-0.296942546,1,0,0,1.2014,0,21,21,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.152874689,-0.296942546,1,0,0,0.88,0,22,22,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
