welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,0.831,0,13,13,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,4.9269,0,14,14,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,0.3957,0,15,15,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,1.4578,0,16,16,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,1.9782,0,17,17,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,1.1685,0,18,18,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,1.4465,0,19,19,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,2.2583,0,20,20,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,0.9836,0,21,21,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,0.6037,0,22,22,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,7.9884,0,23,23,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,2.1678,0,24,24,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,0.267885504,0.055259883,1,0,0,0.9158,0,25,25,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,0.267885504,0.055259883,1,0,0,31.1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,10.7273,,0.281244169,0.111327315,1,0,0,14.784,0,0,0,189,1,aanraden,images/br_aanraden.png,images/cb_aanraden.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.8654,,0.281244169,0.111327315,1,0,0,3.9455,0,1,1,118,1,vinger,images/br_vinger.png,images/cb_vinger.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,37.4054,,0.281244169,0.111327315,1,0,0,17.0004,0,2,2,121,1,twijfel,images/br_twijfel.png,images/cb_twijfel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.0961,,0.281244169,0.111327315,1,0,0,3.2911,0,3,3,87,1,toeval,images/br_toeval.png,images/cb_toeval.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,36.4662,,0.547628285,0.134817395,1,0,0,3.6564,0,4,4,30,1,uien,images/br_uien.png,images/cb_uien.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.4999,,0.513347002,0.275852309,1,0,0,5.6839,0,5,5,5,1,blad,images/br_blad.png,images/cb_blad.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,20.8428,,0.430056173,0.339436428,1,0,0,2.4148,0,6,6,48,1,steel,images/br_steel.png,images/cb_steel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.8294,,0.430056173,0.339436428,1,0,0,1.7965,0,7,7,110,1,zuster,images/br_zuster.png,images/cb_zuster.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,26.7541,,0.430056173,0.339436428,1,0,0,9.5967,0,8,8,107,1,maling,images/br_maling.png,images/cb_maling.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.6769,,0.430056173,0.339436428,1,0,0,3.6736,0,9,9,3,1,mand,images/br_mand.png,images/cb_mand.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.8192,,0.430056173,0.339436428,1,0,0,2.5551,0,10,10,148,1,smullen,images/br_smullen.png,images/cb_smullen.png,0,,,,,,,,,,,,,,,,,,,,,,
