nlLet,letter,readingTime,checkingTime
d,d,1.5210000000000008,2.36209999999404
j,j,1.4999000000059581,1.8326999999880798
h,h,1.516999999999996,2.3160999999940373
g,g,1.5168000000119264,1.6833000000119185
s,s,1.517000000000003,2.3998999999761566
l,l,1.5172000000178798,2.3575000000000017
r,r,1.5109999999999957,1.8390000000000057
a,a,1.5114000000059562,2.2778999999761567
b,b,1.5081000000238447,1.7430999999940369
z,z,1.517000000000003,2.0496999999880785
x,x,1.516900000005954,1.9673000000119316
w,w,1.5155999999940377,1.749799999982116
k,k,1.5051000000238446,3.1593999999761593
f,f,1.5074999999999932,2.459400000005971
y,y,1.5060000000000002,2.809999999999988
u,u,1.5068000000119213,2.1932999999821163
m,m,1.5062000000178841,3.4592999999821217
i,i,1.50710000002384,3.2930000000000064
n,n,1.5070999999940398,2.3091999999880812
o,o,1.5067000000178723,7.8613999999761575
p,p,1.505600000023847,2.116299999982118
t,t,1.5165999999940425,2.1926000000238446
c,c,1.5078999999761464,2.025500000000008
q,q,1.5068000000119213,2.3436999999880754
e,e,1.5064000000059679,1.5984000000059524
v,v,1.5181999999880844,2.0024999999999977
