welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,participant,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2021,,-0.123372266,0.440981563,1,0,0,0,45,45,10,1,leek,images/br_leek.png,images/cb_leek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.9171,,-0.123372266,0.440981563,1,0,0,0,46,46,77,1,woede,images/br_woede.png,images/cb_woede.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1689,,-0.123372266,0.440981563,1,0,0,0,47,47,44,1,flits,images/br_flits.png,images/cb_flits.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1359,,-0.123372266,0.439479476,1,0,0,0,48,48,102,1,legaal,images/br_legaal.png,images/cb_legaal.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.8147,,-0.123372266,0.439479476,1,0,0,0,49,49,131,1,opzicht,images/br_opzicht.png,images/cb_opzicht.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.0369,,-0.123372266,0.439479476,1,0,0,0,50,50,11,1,mode,images/br_mode.png,images/cb_mode.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,37.9359,,0.10281262,0.246128533,1,0,0,0,51,51,147,1,komisch,images/br_komisch.png,images/cb_komisch.png,1,komisch,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.5553,,0.120456444,0.358700843,1,0,0,0,52,52,118,1,vinger,images/br_vinger.png,images/cb_vinger.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.6602,,0.071396878,0.245251439,1,0,0,0,53,53,158,1,innemen,images/br_innemen.png,images/cb_innemen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,2.292,,0.071396878,0.245251439,1,0,0,0,54,54,94,1,oceaan,images/br_oceaan.png,images/cb_oceaan.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4304,,0.071396878,0.245251439,1,0,0,0,55,55,197,1,spanning,images/br_spanning.png,images/cb_spanning.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.0398,,0.071396878,0.245251439,1,0,0,0,56,56,87,1,toeval,images/br_toeval.png,images/cb_toeval.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.5748,,0.071396878,0.245251439,1,0,0,0,57,57,16,1,ziek,images/br_ziek.png,images/cb_ziek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1366,,0.071396878,0.245251439,1,0,0,0,58,58,38,1,baai,images/br_baai.png,images/cb_baai.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.9313,,0.071396878,0.245251439,1,0,0,0,59,59,164,1,anarchie,images/br_anarchie.png,images/cb_anarchie.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4579,,0.071396878,0.245251439,1,0,0,0,60,60,6,1,diep,images/br_diep.png,images/cb_diep.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4074,,0.071396878,0.245251439,1,0,0,0,61,61,52,1,wagon,images/br_wagon.png,images/cb_wagon.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.413,,0.071396878,0.245251439,1,0,0,0,62,62,56,1,traag,images/br_traag.png,images/cb_traag.png,0,,,,,,,,,,,,,,,,,,,,,,
