nlLet,letter,readingTime,checkingTime
p,p,1.53159999999404,13.0773000000119
q,q,1.51600000000002,11.949099999994
c,c,1.51750000000001,26.1308000000119
y,y,1.51789999997618,6.59810000002383
k,k,1.51750000000001,2.35019999998806
d,d,1.517,1.51909999999404
n,n,1.53070000001787,1.95119999998809
l,l,1.53149999999999,5.63230000001192
b,b,1.51739999997616,3.15450000000001
f,f,1.52910000002382,4.24819999998809
a,a,1.51709999999403,5.50180000001194
s,s,1.51499999999999,4.13269999998809
r,r,1.51730000001191,6.00459999999404
o,o,1.51190000000597,4.86919999998807
h,h,1.52980000001193,10.082099999994
v,v,1.51730000001191,6.90029999998211
w,w,1.51680000001193,7.2511999999881
j,j,1.53109999999401,5.14830000001194
u,u,1.51809999999404,2.07440000000594
m,m,1.52569999998809,3.8492000000179
i,i,1.517,4.48199999999997
x,x,1.51769999998811,3.72420000001785
g,g,1.52569999998809,5.30719999998809
t,t,1.52590000000595,6.28609999999406
e,e,1.5298000000119,4.58830000001194
z,z,1.5112999999821,4.82050000000004
b,b,1.52890000000593,6.91990000000595
s,s,1.51340000000596,50.2823999999762
m,m,1.51460000002385,6.13229999998208
y,y,1.5177000000179,8.25389999997617
o,o,1.52910000002385,16.549599999994
c,c,1.51609999999403,17.403400000006
t,t,1.52799999999996,15.067400000006
p,p,1.51609999999403,11.2499000000059
q,q,1.51629999998215,129.115800000012
k,k,1.51019999998812,8.23470000001782
x,x,1.51489999997614,3.53290000000595
r,r,1.51730000001191,5.553
e,e,1.52969999998811,24.9013000000119
h,h,1.51440000000593,9.43789999997614
a,a,1.51070000001789,13.5380999999941
j,j,1.52809999999408,3.41540000000589
f,f,1.51840000000595,27.8827999999821
l,l,1.53200000000004,4.08420000001786
w,w,1.53190000000598,15.637099999994
v,v,1.52840000000595,6.40619999998808
g,g,1.52600000000007,15.1686999999881
i,i,1.53140000000587,2.100300000012
z,z,1.49959999999396,2.00650000000007
n,n,1.52690000000587,10.7354000000061
u,u,1.52999999999997,10.303
d,d,1.53049999999996,4.78839999997615
g,g,1.52740000000597,3.54070000001786
x,x,1.52609999999413,4.48229999998205
t,t,1.5171000000239,4.16549999999995
b,b,1.51789999997618,4.36820000001785
m,m,1.53109999999401,4.715800000012
q,q,1.51719999998807,3.84859999999401
z,z,1.51809999999409,3.83199999999999
w,w,1.51790000000597,6.33140000000594
a,a,1.51830000001189,3.64819999998815
n,n,1.51769999998805,1.81840000000591
f,f,1.51530000001196,6.40199999999993
l,l,1.5301999999881,7.852900000006
j,j,1.53049999999996,5.36530000001198
e,e,1.51759999999399,6.48159999999405
p,p,1.51809999999409,19.7704000000059
v,v,1.52850000000001,8.9553000000119
y,y,1.52769999998804,19.5815
s,s,1.51719999998818,6.96480000001191
