nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
knie,0.0,,False,knie,3.732099999994034,0.4656999999880327,0,
schatten,0.0,,False,schatten,8.029200000017795,0.3665999999940368,0,
stiekem,0.0,,False,stiekem,4.215099999994095,0.9995000000000118,0,
aanzien,0.0,,False,aanzien,3.8791999999880318,0.3830000000000382,0,
vullen,0.0,,False,vullen,11.194900000005987,0.83219999998812,0,
seizoen,0.0,,False,seizoen,22.239400000005958,0.4159000000059905,0,
nakijken,0.0,,False,nakijken,7.247699999988072,0.48250000000007276,0,
baron,0.0,,False,baron,3.632400000005987,0.4824000000058959,0,
woestijn,0.0,,False,woestijn,5.681199999988166,0.5156000000238237,0,
legaal,0.0,,False,legaal,3.8152999999821304,0.5827000000178941,0,
prikken,0.0,,False,prikken,6.096099999994067,1.4486000000238164,0,
kaal,0.0,,False,kaal,4.614499999999907,0.4498000000119191,0,
besmet,0.0,,False,besmet,6.2305999999940695,0.4827999999821486,0,
eenhoorn,0.0,,False,eenhoorn,5.814099999994028,0.9652000000179441,0,
plek,1.0,plek,True,plek,,0.5665000000000191,1,6.313800000011952
ziek,0.0,,False,ziek,3.598699999988071,0.6000000000000227,0,
waarvan,0.0,,False,waarvan,3.897700000017835,0.4654000000059568,0,
poes,0.0,,False,poes,4.514600000023847,0.3160999999940941,0,
blik,0.0,,False,blik,3.699000000000069,0.41630000001191547,0,
laken,0.0,,False,laken,3.579899999976192,0.4154000000058886,0,
attentie,0.0,,False,attentie,8.279800000012187,1.032400000005964,0,
toeval,0.0,,False,toeval,5.330800000012005,0.43330000001174085,0,
geliefd,0.0,,False,geliefd,3.68180000001189,0.6159000000059223,0,
vervoer,0.0,,False,vervoer,3.748700000017834,0.5159000000060132,0,
gerucht,0.0,,False,gerucht,5.7975999999941905,0.3658000000118591,0,
aarzelen,0.0,,False,aarzelen,4.914699999987988,0.3825999999942269,0,
vinger,0.0,,False,vinger,6.897099999993998,1.9321999999881427,0,
weeshuis,0.0,,False,weeshuis,8.746600000023818,0.5377999999820986,0,
aandelen,1.0,aandelen,True,aandelen,,0.39969999998811545,1,39.44520000001785
woede,0.0,,False,woede,3.6320999999938977,0.5993000000119082,0,
klimmen,0.0,,False,klimmen,3.565499999999929,0.5660000000000309,0,
steek,0.0,,False,steek,3.6483000000118864,0.8324999999999818,0,
vlek,0.0,,False,vlek,3.5987999999822478,0.599200000017845,0,
kring,0.0,,False,kring,3.731800000012072,0.4664000000059332,0,
goedkoop,0.0,,False,goedkoop,3.882000000000062,0.4659000000060587,0,
geduld,0.0,,False,geduld,3.5817999999819676,0.5160999999941396,0,
maaltijd,0.0,,False,maaltijd,3.548099999994065,0.5995999999940977,0,
wagon,0.0,,False,wagon,3.815199999988181,0.44920000001775406,0,
opheffen,0.0,,False,opheffen,4.564599999994243,0.44979999998213316,0,
leren,0.0,,False,leren,3.6301000000239583,0.3990999999939504,0,
laag,0.0,,False,laag,3.798099999994065,0.4495999999940068,0,
innemen,0.0,,False,innemen,5.397899999976289,0.4491000000236909,0,
gedicht,0.0,,False,gedicht,15.37590000000614,0.3989999999998872,0,
snoep,0.0,,False,snoep,14.592800000011948,0.3830999999941014,0,
lokken,0.0,,False,lokken,4.764599999994061,0.3825999999939995,0,
kleren,0.0,,False,kleren,3.5483000000119773,0.9328999999761436,0,
anarchie,0.0,,False,anarchie,3.798799999982066,20.605999999999995,0,
strekken,0.0,,False,strekken,9.312099999993961,0.5,0,
koffie,0.0,,False,koffie,3.6825000000001182,0.5157000000178869,0,
mist,0.0,,False,mist,3.648699999988139,0.5989999999999327,0,
toegeven,0.0,,False,toegeven,3.581900000006044,0.6659000000058768,0,
leek,0.0,,False,leek,3.615800000011859,0.48219999998809726,0,
zuster,0.0,,False,zuster,3.7814999999998236,0.716099999994185,0,
grappen,0.0,,False,grappen,4.298000000000002,0.5498000000120555,0,
schuilen,0.0,,False,schuilen,3.7819000000060896,0.44909999999390493,0,
middelen,0.0,,False,middelen,10.578199999988101,0.5492000000178905,0,
bedoelen,0.0,,False,bedoelen,3.848500000000058,0.5324999999997999,0,
bloeien,0.0,,False,bloeien,6.663999999999987,0.3994999999999891,0,
moes,0.0,,False,moes,3.6460999999940213,0.4154999999998381,0,
boeien,0.0,,False,boeien,4.7646999999881245,0.4329999999999927,0,
wijlen,1.0,wijlen,True,wijlen,,0.49909999999408683,1,5.697800000011966
feestdag,0.0,,False,feestdag,3.6640999999940504,0.5995000000000346,0,
verhaal,0.0,,False,verhaal,4.348500000000058,0.4658000000119955,0,
muziek,0.0,,False,muziek,3.6317000000178723,0.4656999999881464,0,
groen,0.0,,False,groen,3.5312000000178614,0.5163999999763291,0,
leuk,1.0,leuk,True,leuk,,0.6997000000178559,1,6.530199999988099
piste,0.0,,False,piste,3.6485000000000127,0.5663999999762837,0,
bijkomen,0.0,,False,bijkomen,3.88149999999996,0.36599999999998545,0,
kanjer,0.0,,False,kanjer,5.164999999999964,0.4490000000000691,0,
eetlust,1.0,eetlust,True,eetlust,,0.7488000000118973,1,6.2144000000059805
schep,0.0,,False,schep,3.7963000000117972,0.450300000012021,0,
tekst,0.0,,False,tekst,3.882000000000062,0.5323999999761782,0,
wegen,1.0,wegen,True,wegen,,0.6990999999941323,1,9.124599999993961
waarop,0.0,,False,waarop,4.16519999998809,0.3661999999881118,0,
uitlaat,0.0,,False,uitlaat,20.12409999999386,0.3656999999882373,0,
liefje,0.0,,False,liefje,3.5600999999940086,0.49940000000606233,0,
bisschop,0.0,,False,bisschop,5.280999999999949,0.3990999999941778,0,
kabel,0.0,,False,kabel,3.963599999993903,0.41590000000610416,0,
flirt,0.0,,False,flirt,5.413799999982075,0.4830999999942378,0,
bleek,0.0,,False,bleek,3.665200000017876,0.44969999998807,0,
