column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
readingTime_br,length,all,2,0.6807564393209731,7.536584487556293e-26,178
readingTime_br,frequency,all,2,-0.05218417733743418,0.48660366135727945,178
readingTime_br,old20,all,2,0.6383220430965424,5.493332909250847e-22,178
readingTime_cb,length,all,2,0.6621583441174628,4.4405648751059025e-24,178
readingTime_cb,frequency,all,2,-0.1319886941180956,0.07736016951102388,178
readingTime_cb,old20,all,2,0.6016234060551413,4.2137237559415183e-19,178
readingTime_br,length,all,3,0.5908027367117787,2.5477280931588058e-18,178
readingTime_br,frequency,all,3,-0.09743680696411595,0.19317523435429965,178
readingTime_br,old20,all,3,0.5952397062845156,1.228171480378431e-18,178
readingTime_cb,length,all,3,0.627595448545002,4.195381408712002e-21,178
readingTime_cb,frequency,all,3,-0.07008642268661922,0.34983601495039357,178
readingTime_cb,old20,all,3,0.6278248779967961,4.020176292153534e-21,178
readingTime_br,length,all,4,0.4955890916796473,1.5135197089504341e-12,178
readingTime_br,frequency,all,4,-0.07520351688943266,0.3156903228376779,178
readingTime_br,old20,all,4,0.461082837284188,7.333969498053653e-11,178
readingTime_cb,length,all,4,0.5323796259151193,1.452508476923988e-14,178
readingTime_cb,frequency,all,4,-0.018519098516547722,0.8051017171827858,178
readingTime_cb,old20,all,4,0.5120997244912815,2.015325341498446e-13,178
