column1,column2,correlation,p_value,degrees_of_freedom
readingTime_br,frequency,0.1636050186267205,0.42452253138036955,24
checkingTime_br,frequency,-0.052899161633632126,0.7974508876628226,24
readingTime_cb,frequency,-0.033257379653589436,0.8718696256010027,24
checkingTime_cb,frequency,-0.2712143516209768,0.18018234359770888,24
