Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
script,0.004593749999999921,1,78,0.004593749999999921,0.1503948093285154,0.6992146656912674,0.0019244280172281787,
day,0.024083333333333314,2,156,0.012041666666666657,2.2746720484359257,0.10623139650073003,0.028336111383468993,0.9541595857131081
Interaction,0.0017500000000003624,2,156,0.0008750000000001812,0.1652875882946864,0.8477981457584884,0.002114590675662509,
