script,day,n,mean,std
br,2,40,0.9199999999999999,0.08608284620211168
br,3,40,0.9400000000000001,0.08929926637077697
br,4,40,0.9349999999999999,0.1424150669067402
cb,2,40,0.90625,0.15491416150855106
cb,3,40,0.92875,0.11485079506997387
cb,4,40,0.9337500000000001,0.0969982156854127
