Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher
script,34.43156835748083,1,78,34.43156835748083,0.9518000021424077,0.33227759772698984,,0.012055456647176884,,,,
day,264.247051806589,2,156,132.1235259032945,11.137790187617556,3.0099111260669095e-05,0.000244649388063095,0.12495026143428836,0.7270855141295753,False,0.624645959014679,1.0708372148371228e-08
Interaction,37.94285365538508,2,156,18.97142682769254,1.5992592547161932,0.20534066445706647,,0.020091383634596303,,,,
