script,day,n,mean,std
br,2,40,9.165280653133019,2.9015494992156983
br,3,40,6.576517376269441,2.333740342971253
br,4,40,6.218907013216932,1.5081888695357046
cb,2,40,8.14043878823908,2.6270913872249286
cb,3,40,6.52984238305969,2.325516062145721
cb,4,40,5.987853505606588,1.4235122829866262
