subject,script,repetition,letter,readingTime,checkingTime
sub-00004,cb,1,n,1.5336000001430534,7.078399999856941
sub-00004,cb,1,q,1.5299000000953669,3.525599999904628
sub-00004,cb,1,s,1.5243000001907347,3.052099999904641
sub-00004,cb,1,j,1.5305999999046236,2.998900000095375
sub-00004,cb,1,k,1.5165999999046278,3.456200000047687
sub-00004,cb,1,h,1.5272999999523051,3.835100000143072
sub-00004,cb,1,c,1.5305000000000175,4.289200000047657
sub-00004,cb,1,t,1.5268999998569657,3.574400000095352
sub-00004,cb,1,x,1.524899999856956,2.6049000000953697
sub-00004,cb,1,l,1.5279000000953715,1.8158999998569527
sub-00004,cb,1,u,1.5164000000953592,4.60479999995232
sub-00004,cb,1,o,1.5284000000953597,3.2005999999046537
sub-00004,cb,1,y,1.5154000000953545,2.716000000000008
sub-00004,cb,1,i,1.5164999999999793,3.63269999980929
sub-00004,cb,1,p,1.5168000001907274,2.9325000000000045
sub-00004,cb,1,a,1.517099999904616,1.5662999999523208
sub-00004,cb,1,f,1.5166000001430575,2.8523999998569423
sub-00004,cb,1,b,1.5297999999523313,2.158100000143037
sub-00004,cb,1,r,1.525399999856944,4.651800000190747
sub-00004,cb,1,w,1.5301999998092697,2.072900000095359
sub-00004,cb,1,e,1.5270999999046353,3.3321000001430434
sub-00004,cb,1,g,1.5172999999523142,3.073299999952326
sub-00004,cb,1,m,1.5256000001430436,4.205799999952319
sub-00004,cb,1,d,1.526700000047697,1.7836999998092438
sub-00004,cb,1,z,1.516999999999996,2.946300000190746
sub-00004,cb,1,v,1.5073999998569434,3.149200000047699
sub-00004,cb,2,m,1.528799999952298,3.808000000000021
sub-00004,cb,2,r,1.524700000047659,2.4324000000953845
sub-00004,cb,2,w,1.517099999904616,3.825099999904637
sub-00004,cb,2,a,1.5121000001430502,4.085499999999996
sub-00004,cb,2,c,1.515500000000003,3.731399999856962
sub-00004,cb,2,n,1.5172000000476942,3.246799999952316
sub-00004,cb,2,t,1.5184000000953688,3.732299999952261
sub-00004,cb,2,j,1.5139000000953615,3.6747000000477215
sub-00004,cb,2,y,1.5117999999523022,3.983000000000004
sub-00004,cb,2,z,1.5157000000476728,3.38279999995234
sub-00004,cb,2,p,1.5142999999523,1.9832000000477024
sub-00004,cb,2,g,1.5197999999522835,3.863200000047698
sub-00004,cb,2,q,1.5192999999522954,2.463299999952312
sub-00004,cb,2,u,1.5177000000476824,5.033400000095412
sub-00004,cb,2,h,1.516399999856901,2.314299999952368
sub-00004,cb,2,l,1.5189999999999486,4.897000000000048
sub-00004,cb,2,s,1.5182000000476703,2.917600000143068
sub-00004,cb,2,o,1.5159999999999627,5.362399999856962
sub-00004,cb,2,d,1.52020000004768,2.4502999999523354
sub-00004,cb,2,e,1.5129999999999768,2.835900000095364
sub-00004,cb,2,v,1.5172000000476942,3.013500000000022
sub-00004,cb,2,i,1.5146999998092383,1.9864999999999784
sub-00004,cb,2,k,1.515900000095371,2.8924000000953924
sub-00004,cb,2,x,1.5078999998569316,4.262700000047687
sub-00004,cb,2,f,1.5194999999999936,2.2340000000000373
sub-00004,cb,2,b,1.5167999999522976,2.329499999999996
sub-00004,cb,3,b,1.5134000000953731,2.453599999904611
sub-00004,cb,3,j,1.5190000000000057,4.039400000095384
sub-00004,cb,3,u,1.509700000047701,3.9780999999046
sub-00004,cb,3,l,1.5199999999999818,1.7760000000000105
sub-00004,cb,3,o,1.5077000000476914,1.7012999999523115
sub-00004,cb,3,t,1.5149999999999864,1.9475000000000475
sub-00004,cb,3,c,1.5187999999523072,1.86879999995233
sub-00004,cb,3,n,1.5143000001907012,3.822699999809288
sub-00004,cb,3,p,1.5093000001907058,2.081299999952307
sub-00004,cb,3,m,1.518799999952364,2.6802999999522967
sub-00004,cb,3,g,1.518900000095357,2.4645999999046353
sub-00004,cb,3,h,1.5185000000000173,4.84710000014303
sub-00004,cb,3,i,1.5188999998569557,2.9139999999999873
sub-00004,cb,3,w,1.518900000095357,3.4005999999046708
sub-00004,cb,3,z,1.5147000000476964,1.6809000000953347
sub-00004,cb,3,y,1.5190000000000057,2.010699999809276
sub-00004,cb,3,f,1.5054000000953351,4.017099999904644
sub-00004,cb,3,q,1.515900000095371,1.704200000047706
sub-00004,cb,3,x,1.512700000047687,1.726299999952289
sub-00004,cb,3,e,1.5024999999999975,3.283099999904664
sub-00004,cb,3,d,1.5187000000476587,1.681900000095368
sub-00004,cb,3,s,1.5185000000000173,1.549799999952313
sub-00004,cb,3,v,1.516899999856946,2.0403000001907117
sub-00004,cb,3,a,1.5086999998092665,1.9999000000954084
sub-00004,cb,3,k,1.516200000047661,1.6450999999046303
sub-00004,cb,3,r,1.5204000000953783,3.0663999998569125
sub-00004,cb,4,n,1.5174000000953924,1.5454000000953556
sub-00004,cb,4,b,1.5215000000000032,1.8810000000000289
sub-00004,cb,4,o,1.517799999952274,2.012599999904637
sub-00004,cb,4,m,1.52020000004768,2.8464000000954
sub-00004,cb,4,d,1.5201999998092788,3.646900000095343
sub-00004,cb,4,z,1.5185000000000173,5.498799999952325
sub-00004,cb,4,t,1.516999999999996,1.6321000001430548
sub-00004,cb,4,q,1.518599999904609,1.9429999999999836
sub-00004,cb,4,i,1.505700000047682,12.416299999952344
sub-00004,cb,4,f,1.5164000000953592,2.197199999809243
sub-00004,cb,4,r,1.5166000001430575,1.7785000000000082
sub-00004,cb,4,y,1.501599999904613,1.8154000000953945
sub-00004,cb,4,g,1.504799999952354,1.981999999999971
sub-00004,cb,4,w,1.517200000047751,2.331599999904597
sub-00004,cb,4,p,1.5170000000000528,1.911700000047631
sub-00004,cb,4,a,1.5052000000476935,1.874899999857007
sub-00004,cb,4,j,1.5083000001907294,3.499499999999898
sub-00004,cb,4,h,1.518199999809326,7.611499999999978
sub-00004,cb,4,l,1.5185000000000173,1.6163000001906769
sub-00004,cb,4,s,1.5122999999523472,1.833500000000072
sub-00004,cb,4,u,1.5177999999522171,5.460299999952326
sub-00004,cb,4,k,1.508600000143133,2.415399999856959
sub-00004,cb,4,x,1.5177999999522171,2.154700000047683
sub-00004,cb,4,v,1.5085000000000264,6.156100000143056
sub-00004,cb,4,e,1.510499999999979,8.732799999952363
sub-00004,cb,4,c,1.518299999952319,2.328599999904668
