woord,session,length,syllabels,frequency,phonemes,old20,pld30
slapen,0,6,2,24047,5,1.5,1.4
smullen,0,7,2,252,5,1.65,1.53333333333333
snoep,0,5,1,1955,4,1.4,1.4
snuiven,3,7,2,338,5,1.7,1.7
soda,0,4,2,329,4,1.85,1.9
spanning,0,8,2,2040,6,2.05,1.86666666666667
stal,0,4,1,2917,4,1.1,1.26666666666667
staren,3,6,2,1906,5,1.4,1.23333333333333
steek,2,5,1,9699,4,1.3,1.3
steel,0,5,1,1201,4,1.1,1.23333333333333
stemming,0,8,2,2187,6,1.9,1.9
stiekem,2,7,2,1590,6,2.05,2.13333333333333
stof,3,4,1,3563,4,1.35,1.4
stoom,0,5,1,704,4,1.35,1.46666666666667
strak,0,5,1,2094,5,1.45,1.53333333333333
strekken,0,8,2,392,6,1.6,1.4
strikken,0,8,2,372,6,1.75,1.5
sufferd,0,7,2,556,6,1.7,1.63333333333333
taal,2,4,1,4101,3,1.1,1.06666666666667
techniek,2,8,2,1838,6,2.75,2.53333333333333
tekst,2,5,1,2354,5,1.6,1.73333333333333
ticket,0,6,2,1423,5,1.9,1.73333333333333
toegeven,3,8,3,3750,6,1.85,1.93333333333333
toeval,0,6,2,4161,5,1.95,1.9
totaal,0,6,2,6604,5,1.9,1.86666666666667
traag,2,5,1,1292,4,1.55,1.66666666666667
trekker,2,7,2,1825,6,1.75,1.7
twijfel,0,7,2,5253,6,2.25,2.1
uien,0,4,2,517,3,1.05,1.5
uitdelen,0,8,3,576,5,1.75,1.8
uitlaat,0,7,2,293,5,1.75,1.73333333333333
verhaal,0,7,2,26217,6,1.55,1.66666666666667
vervoer,0,7,2,1161,6,1.45,1.66666666666667
vinger,0,6,2,3791,5,1.7,1.73333333333333
vlek,0,4,1,971,4,1.45,1.6
volop,0,5,2,373,5,2.0,1.93333333333333
voorraad,4,8,2,1591,5,1.95,1.53333333333333
vorm,0,4,1,5615,4,1.65,1.73333333333333
vreten,0,6,2,719,5,1.55,1.63333333333333
vullen,0,6,2,2082,4,1.0,1.03333333333333
vuur,0,4,1,12940,3,1.4,1.23333333333333
waarbij,2,7,2,2323,5,2.4,1.93333333333333
waarop,0,6,2,7619,5,2.05,1.93333333333333
waarvan,0,7,2,6931,6,2.35,2.5
wagon,0,5,2,386,5,1.9,1.96666666666667
waken,0,5,2,459,4,1.0,1.0
weeshuis,0,8,2,862,6,2.55,2.53333333333333
wegen,4,5,2,2459,4,1.0,1.13333333333333
weigeren,0,8,3,1902,6,1.8,1.7
wijlen,4,6,2,343,4,1.05,1.0
woede,0,5,2,3420,4,1.4,1.46666666666667
woestijn,2,8,2,3132,6,2.85,2.5
woning,0,6,2,1741,5,1.9,1.86666666666667
zaal,0,4,1,1634,3,1.05,1.06666666666667
ziek,2,4,1,15838,3,1.2,1.33333333333333
zingen,4,6,2,7507,4,1.25,1.46666666666667
zout,3,4,1,2043,3,1.35,1.3
zuster,0,6,2,8364,6,1.8,1.83333333333333
zwart,4,5,1,6876,5,1.75,1.66666666666667
zweven,4,6,2,539,5,1.35,1.63333333333333
