subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,2,parel,0,,False,4.565899999857038,1.2859000000953529,
sub-00004,cb,2,spanning,0,,False,6.112600000143175,1.451899999856778,
sub-00004,cb,2,zout,0,,False,5.762799999952222,0.4855000000000018,
sub-00004,cb,2,slagen,1,SLAGEN,True,,0.5502000000476528,9.231899999856978
sub-00004,cb,2,opkijken,0,,False,11.773799999952187,0.5900999999048508,
sub-00004,cb,2,loyaal,1,LOYAAL,True,,0.9337000000475656,5.931600000143135
sub-00004,cb,2,ticket,0,,False,14.554299999952264,0.6459000000952528,
sub-00004,cb,2,aflopen,0,,False,10.020399999856863,0.6289000000954275,
sub-00004,cb,2,gebit,0,,False,6.724999999999909,1.0252999999524943,
sub-00004,cb,2,dubbel,0,,False,5.572100000143109,0.4480000000000927,
sub-00004,cb,2,stof,0,,False,10.3757000000478,8.624499999999898,
sub-00004,cb,2,gerucht,0,,False,8.965499999999793,0.5522000000478329,
sub-00004,cb,2,mening,0,,False,7.56580000019062,0.5871999998093997,
sub-00004,cb,2,jurk,0,,False,8.015499999999975,0.4415000000001328,
sub-00004,cb,2,toeval,0,,False,6.006299999952262,0.6783000001908022,
sub-00004,cb,2,site,0,,False,6.290900000095462,0.6249000000952947,
sub-00004,cb,2,slapen,0,,False,4.488599999904636,0.5760000000000218,
sub-00004,cb,2,jaar,0,,False,5.742299999952365,0.5415000000000418,
sub-00004,cb,2,hechten,0,,False,26.639900000095395,16.789699999809272,
sub-00004,cb,2,baas,0,,False,3.1412000000477747,0.5577999999522945,
sub-00004,cb,2,uien,0,,False,6.183399999856874,0.5349000000953765,
sub-00004,cb,2,aarzelen,0,,False,5.614599999904613,0.5017000000475491,
sub-00004,cb,2,koppen,0,,False,4.4983000001907385,0.5525000000000091,
sub-00004,cb,2,invloed,0,,False,10.430900000095336,0.6369999999999436,
sub-00004,cb,2,jasje,0,,False,5.296599999904629,0.7015000000001237,
