sub,ses,nlWrd,writingTime,score,script,writing,breaks,check
00004,001,spanzing,,False,cb,18.25779999995234,2.8352999999522126,2.8352999999522126
00004,001,lava,,False,cb,4.192000000000007,1.6321000001430548,1.1244000000951928
00004,001,waarvan,,False,cb,2.9292999999522635,2.2984000000953984,2.2984000000953984
00004,001,hemel,,False,cb,2.32880000019054,8.088899999856949,8.088899999856949
00004,001,twijfel,,True,cb,2.1765000000000327,1.3157999999523329,1.3135999999046817
00004,001,klauw,,False,cb,6.000099999904705,5.6867999999522,5.6867999999522
00004,001,meenemen,,False,cb,6.913900000095282,27.721500000000106,27.721500000000106
00004,001,stamen,,False,cb,19.75290000009545,13.479299999952444,13.023599999904718
00004,001,dubbel,,False,cb,5.728100000143058,4.174700000047551,4.174700000047551
00004,001,klimmen,,False,cb,3.2291000001430348,2.09050000000002,2.09050000000002
00004,001,tekenen,,False,cb,1.9736000001430511,7.316199999809214,7.316199999809214
00004,001,rezer,,False,cb,3.1284000000953256,8.349599999904513,8.349599999904513
00004,001,slak,,True,cb,0.7216000001430984,17.466399999856776,17.466399999856776
00004,001,liegen,,True,cb,3.5454999999999472,6.208699999809369,6.208699999809369
00004,001,daarheen,,False,cb,4.99350000000004,2.7387999999523345,1.7377000000476528
00004,001,brijk,,False,cb,2.4719000000952747,23.42729999995231,23.42729999995231
00004,001,hoog,,False,cb,1.665099999904669,1.892200000047751,1.892200000047751
00004,001,hiervan,,False,cb,1.6948999998569434,14.121499999999967,14.121499999999967
00004,001,loods,,True,cb,10.78729999995221,9.783800000190922,9.783800000190922
00004,001,uitdelen,,False,cb,4.040899999856947,3.5007000000475728,3.5007000000475728
00004,001,schuilen,,False,cb,4.160200000047553,2.317400000095404,2.101799999952391
00004,001,zuiplap,,False,cb,1.730599999904598,0.9692000000477492,0.929600000143182
00004,001,toezicht,,False,cb,1.568100000143204,1.3201999998091196,1.3201999998091196
00004,001,bleek,,False,cb,2.5757999999523236,1.3032999999525146,1.2102000000475073
00004,001,knoe,,True,cb,1.3198999998569434,2.320400000095333,2.320400000095333
00004,001,kanjer,,False,cb,6.128099999904634,2.601500000000214,1.9402000000477528
00004,001,mand,,False,cb,7.06509999990476,4.3452999999522035,4.3452999999522035
00004,001,attentie,,False,cb,3.9930000000001655,6.698999999999842,6.698999999999842
00004,001,dief,,True,cb,1.4627000000475618,1.7801999998093834,1.7801999998093834
00004,001,opvatten,,False,cb,1.7688999998570123,1.2601000001429838,1.2601000001429838
00004,001,maken,,False,cb,1.4732000000476546,0.8822000000477601,0.8822000000477601
00004,001,jaar,,False,cb,3.648200000047609,1.04170000004774,0.5682999999523872
00004,001,opslaan,,False,cb,1.726299999952289,2.7007000000478456,2.7007000000478456
00004,001,vijftig,,False,cb,2.421799999952327,1.15300000000002,0.9199000000953674
00004,001,lochten,,False,cb,1.8372000000476871,2.088399999856847,2.088399999856847
00004,001,liefde,,True,cb,1.254300000190824,1.0656999998093395,1.0656999998093395
00004,001,booi,,True,cb,1.229299999952218,1.1126000001431748,1.1126000001431748
00004,001,vizier,,False,cb,5.492999999999938,1.4860999999045816,1.4860999999045816
00004,001,schep,,False,cb,2.5239000000954093,1.7120999999046944,1.7120999999046944
00004,001,vervaden,,False,cb,3.766200000047774,2.6922000000477055,1.4132000000477092
00004,001,fictie,,False,cb,1.7534000000953256,1.0844000000954566,0.982799999952249
00004,001,valop,,False,cb,1.621499999999969,6.301400000095555,6.301400000095555
00004,001,opplaan,,False,cb,1.8263999998569032,3.9739000000954543,3.9739000000954543
00004,001,zaal,,True,cb,1.35420000004774,1.0351000001430748,1.0351000001430748
00004,001,schielen,,False,cb,2.923000000000002,1.3399000000954402,1.3399000000954402
00004,001,reedje,,False,cb,4.425700000047755,1.319900000095231,1.319900000095231
00004,001,bebrip,,False,cb,1.160299999952258,1.0621000001431185,1.0621000001431185
00004,001,mening,,False,cb,2.1217999999523727,5.593499999999949,5.593499999999949
00004,001,voorreur,,False,cb,2.9652000000476164,1.5199000000952765,1.2031999998093852
00004,001,flullen,,False,cb,6.364199999809216,4.876299999952153,1.1582000000478274
00004,001,muziek,,False,cb,2.275899999856847,1.641399999856958,1.3175000000001091
00004,001,dred,,False,cb,2.13220000004776,1.20379999995248,0.9880000000000564
00004,001,lezen,,True,cb,0.8522000000477874,1.1195999999044943,1.1195999999044943
00004,001,voorkeur,,False,cb,1.5426999998094288,1.003399999857038,0.9004000000952601
00004,001,genond,,False,cb,1.4200000000000728,2.111499999999978,2.111499999999978
00004,001,wijze,,False,cb,12.791900000095438,12.791900000095438,0.0
00004,001,stuk,,True,cb,0.7882999999524145,14.146700000047533,14.146700000047533
00004,001,stuikem,,False,cb,8.820299999952113,6.330799999952433,6.330799999952433
00004,001,tars,,True,cb,1.0010000000002035,3.0007999999520507,3.0007999999520507
00004,001,prort,,False,cb,4.641100000143069,3.692400000095404,1.1002999999523126
00004,002,jagen,,False,cb,1.8200000000001637,1.1237000000478474,0.9697999999521016
00004,002,woning,,False,cb,2.3651000001427747,1.2081999998094943,1.2081999998094943
00004,002,sifferd,,False,cb,5.228299999952469,2.2122999999523927,1.1662999999521162
00004,002,blad,,True,cb,1.584900000095331,3.625,3.625
00004,002,feestdag,,True,cb,2.1345000000001164,2.37189999985685,2.37189999985685
00004,002,plannen,,True,cb,1.6102000000478256,1.42379999995228,1.42379999995228
00004,002,inzicht,,False,cb,4.627200000048106,3.1542999999524,1.591299999952298
00004,002,geld,,True,cb,1.1671000001429093,1.0234999999997854,1.0234999999997854
