subject,script,ses-1_test-accuracy,ses-1_test-reading,ses-1_test-writing,ses-1_train-reading,ses-1_train-checking,ses-2_test-accuracy,ses-2_test-reading,ses-2_test-writing,ses-2_train-accuracy,ses-2_train-reading,ses-2_train-checking,ses-2_train-writing,ses-2_ref-reading,ses-2_ref-checking,ses-3_test-accuracy,ses-3_test-reading,ses-3_test-writing,ses-3_train-accuracy,ses-3_train-reading,ses-3_train-checking,ses-3_train-writing,ses-4_test-accuracy,ses-4_test-reading,ses-4_test-writing,ses-4_train-accuracy,ses-4_train-reading,ses-4_train-checking,ses-4_train-writing
00004,cb,0.2,5.994325000003964,3.7743050000031833,1.517256043962066,2.8965510988956016,0.7,5.983953333330146,2.989908333349255,1.0,8.580071111108198,2.315094500004048,9.423180000019064,1.5142538461593484,2.577442307683137,0.7833333333333333,5.984413333340467,2.5606616666754083,0.95,6.903836111103162,0.804494499993329,8.09204500002862,0.8,5.984970000012701,1.9382933333396977,1.0,5.836258888884384,1.3457285000026156,7.417629999995222
00008,br,0.0,6.0003775862064685,8.833279310346189,1.5092241758234204,8.484114285715007,0.18333333333333332,6.001428333334108,6.5553316666663175,0.85,12.568534636870782,1.4588407035188322,22.70313999999461,1.512311538471629,6.479953846145131,0.36666666666666664,6.001101666664105,4.376833333330319,0.9,5.117292178769015,0.8826969849260587,15.875315000000574,0.38333333333333336,5.9999966666588955,4.287693333339674,1.0,6.075144692736301,0.6257678391945355,17.700099999999985
00014,cb,0.3050847457627119,5.995415254234739,8.934338983052372,1.5099038461533472,3.2446082417588387,0.7627118644067796,5.99052542372733,4.883671186443095,1.0,9.405189444446243,1.4204879999990618,11.778349999998472,1.513419230763724,3.9606769230824312,0.8,5.992966666669615,3.972859999995433,1.0,6.633499444442666,0.7565574999985074,8.81323499999938,0.7833333333333333,5.99049166666562,3.5810416666666884,1.0,5.937177777778112,0.6034199999999942,7.35308999999763
00015,cb,0.05357142857142857,5.991574999997665,14.758933928573185,1.5214620879120622,8.843760439560466,0.7833333333333333,5.98988833333749,3.2359933333327566,0.95,7.699883815030837,2.1788854922287673,12.411590000000611,1.5119307692371875,4.221626923070504,0.8833333333333333,5.990963333335538,2.668736666664468,1.0,3.915101111114021,0.9993909999984498,8.721615000003586,0.75,6.006958333335301,3.2022516666660823,0.9,6.003766666666997,1.0740930000004212,8.279754999995228
00017,cb,0.5423728813559322,5.992677966101714,3.1678644067796724,1.5178406593406628,3.821681318681315,0.7192982456140351,5.99301754385967,3.1853508771929993,0.95,6.07544692737431,1.2672562814070294,7.160750000000005,1.5172692307692321,2.999192307692306,0.9322033898305084,5.9918644067513585,1.8733440677998277,0.95,5.04894413407422,0.6589517587884591,7.022514999973788,0.9333333333333333,5.992466666666602,1.6249000000000327,1.0,5.740300000000002,0.7898149999999994,8.751000000000008
00018,cb,0.3,5.995656666652386,8.359928333342078,1.5156104395533563,7.4393576923150375,0.6166666666666667,5.995961666659529,4.174216666670645,1.0,11.595809999993113,1.297777000001679,10.914279999995225,1.5119307692326045,5.172680769232601,0.6833333333333333,5.9929150000055715,3.844296666661876,0.8,11.467207909612332,0.7233274111663003,9.785145000004775,0.8,5.989311666659531,2.9170066666761842,1.0,7.11696499999232,0.6044325000059615,7.857810000002402
00019,br,0.1016949152542373,5.98100338980302,5.371610169523846,1.515487362646797,4.01039340658502,0.6610169491525424,5.987467796584327,3.612422033891824,0.95,10.803560000022248,0.9469954999852191,14.684474999952304,1.5144346153369312,4.92639615389017,0.9166666666666666,5.991533333333298,3.2392216666857547,0.95,5.919945555557148,0.8287554999971476,8.673890000009525,0.896551724137931,5.990794827633886,2.4801844827388777,0.95,6.188411864423487,0.5355060913720052,7.009270000028613
00020,br,0.2,5.993198333334438,4.074561666666712,1.515769780220238,2.759019780219339,0.75,5.99094333333472,2.7621166666626777,0.95,6.747211111111117,1.2165105000007108,8.176749999994044,1.512049999995875,3.758496153849821,0.9,5.991556666662299,1.8414399999995643,1.0,4.930613888890216,0.7794520000016643,6.606849999997044,0.95,5.991228333333178,1.6803516666650504,1.0,4.842393888893725,0.9374189999991686,6.427879999989275
00024,cb,0.3389830508474576,5.992484745833843,6.322354237152367,1.5149884615678075,2.7769357142605604,0.6909090909090909,5.988032727224163,5.663336363809768,1.0,10.43535555550258,1.0246130000495879,11.604555000114399,1.5153423077509969,2.7745730768350447,0.8275862068965517,5.994305172361174,3.5337931033825107,1.0,7.764646927370036,1.4591060301239163,8.01272999982835,0.9166666666666666,5.991798333454108,3.2997483333905393,0.9,6.351894999991522,0.8988664999961873,8.484679999923681
00025,cb,0.034482758620689655,5.991806896550915,3.1565999999950862,1.5150972527396558,6.004391758249355,0.4166666666666667,5.992543333311861,2.6714766666690744,0.7,9.565261666666153,3.506376499997374,9.836024999964241,1.516680769250945,5.14693461536444,0.847457627118644,5.9924677966126305,2.6353135593341395,0.8,6.473070555546554,1.493400500001905,10.118800000000002,0.7833333333333333,5.992698333330925,2.3867866666595092,0.9,5.94761888889604,1.123837000014785,6.799039999949929
