subject,script,ses-1_train,ses-1_break,ses-1_test,ses-2_refresh,ses-2_train,ses-2_break,ses-2_test,ses-3_train,ses-3_break,ses-3_test,ses-4_train,ses-4_break,ses-4_test
00004,cb,848.9915999999047,357.89659999990454,843.1422000000478,114.31659999990462,2321.310100000143,359.8173999998571,674.9592000000475,1686.6892000000478,464.8692999999523,611.6817000000474,1585.0372000000475,493.6713999998571,575.2174999999997
00008,br,1841.200400000006,335.9444000000062,1007.9195999999938,208.78340000003575,3192.628299999953,152.190600000024,806.4129999999996,1610.785099999964,3.0068000000119355,683.4021999999882,1742.1035,3.0550000000000637,693.8180000000002
00014,cb,886.335599999994,371.6195,1047.6535,153.33650000000006,2358.069699999988,354.45520000001807,800.4625000000001,1635.806300000012,226.0725,656.704,1440.9705,168.7146000000239,608.7415999999646
00015,cb,1924.1626999999885,498.1373000000119,1785.6845000000003,149.2133000000119,3107.362199999988,349.0976000000237,657.340099999964,1193.895899999976,55.718600000024026,592.5495999999641,1578.2343999999764,316.03549999999996,630.1800000000001
00017,cb,987.762,718.9269999999999,646.817,121.544,1719.13,426.3169999999998,903.0189999999998,1365.3192000000477,249.39100000000008,580.7311000001432,1470.801,452.2660000000001,491.288
00018,cb,1643.3356000001431,542.2655,954.2445999999044,182.46010000014303,2687.530399999857,701.0377999999523,700.9853000001908,2711.7113000001905,359.8746999998093,677.0349999999999,1668.3252999999522,392.8260000000005,584.0267000000476
00019,br,1028.0596999998093,391.7603000001907,823.0542999997135,178.3529000000954,2559.6995,427.30329999971354,783.6730000000002,1518.9445999999048,749.5929999999998,722.0481999998092,1783.9063000001909,962.7003000001909,1628.263
00020,br,785.277900000006,424.7489999999998,673.7247999999972,140.0128000000119,1757.617300000012,428.6334999999999,574.1261999999883,1286.230900000036,432.91449999999986,502.7765999999642,1303.1055999999642,303.02790000003574,501.6175000000003
00024,cb,806.0770000000001,507.59729999923695,883.9360000000001,143.76839999961857,2447.0652000007626,493.17170000076294,1107.5716999988558,2042.5912999992368,527.5102000007628,915.7377999992372,1610.5159999999998,575.1662999992373,724.6803000011441
00025,cb,1382.2659999999998,430.951100000143,571.5174999999999,180.5862000000477,2742.0862999999526,142.06409999990456,565.8066000001427,1795.7494000000956,573.067900000095,640.4918999998567,1557.084700000048,575.7045999999045,564.467400000095
00026,br,1388.9019000000062,159.27259999999387,727.365400000006,123.18509999999404,2364.542400000006,31.2107999999821,641.2929000000058,1746.173099999994,383.2935000000005,702.5464000000056,2484.84,75.48200000000043,741.9179999999997
00029,br,921.7477000000476,713.6047999999524,1776.0027000000478,114.83939999997614,2425.868900000095,63.33559999990485,1042.8452000000475,2022.1258999999764,315.39339999997605,515.5652000000478,1416.3709000000954,5.086699999809298,837.8152000000478
00033,br,1231.6011000000017,518.4588999999985,1118.7782999999968,96.13760000002384,2296.717599999994,353.2287999999817,655.1777000000179,2320.6455,478.5088000000119,614.7299000000062,1816.936399999976,435.22869999998807,585.6237000000474
