sub,ses,nlWrd,readingTime
00004,002,graaf,8.507200000047675
00004,002,stal,4.631499999999988
00004,002,vuur,6.913299999952301
00004,002,vervoer,12.129299999952307
00004,002,schat,11.164399999856954
00004,002,vinger,9.911
00004,002,schep,11.865399999856947
00004,002,mist,5.805600000143045
00004,002,bloeien,11.31270000004767
00004,002,sufferd,11.479599999904622
00004,002,weeshuis,13.529099999904645
00004,002,dans,8.098100000143063
00004,002,verhaal,10.063499999999976
00004,002,geluid,7.632100000143055
00004,002,daarheen,7.430299999952354
00004,002,aanzien,11.813499999999976
00004,002,laken,5.53000000000003
00004,002,muziek,7.26359999990467
00004,002,blik,
00004,002,lukken,17.23809999990459
00004,002,piste,5.448599999904616
00004,002,mand,10.631000000000029
00004,002,strak,5.046600000143087
00004,002,kanjer,12.860700000047643
00004,002,slak,3.082499999999982
00004,002,zuster,6.565700000047684
00004,002,poes,3.6472000000476896
00004,002,stiekem,
00004,002,maken,8.064700000047708
00004,002,praat,6.378900000095371
00004,002,openbaar,10.561799999952314
00004,002,mode,5.8986000001430625
00004,002,kleren,6.962200000047687
00004,002,nodig,18.561799999952314
00004,002,woede,4.36200000000008
00004,002,uitlaat,6.52729999995222
00004,002,schuilen,7.448400000095376
00004,002,opzicht,16.089500000000044
00004,002,redding,13.1302999999524
00004,002,aanzoek,5.43100000000004
00004,002,hiervan,12.664999999999964
00004,002,palm,8.748299999952337
00004,002,weigeren,8.596200000047588
00004,002,schaamte,7.130700000047682
00004,002,vlek,7.997100000143064
00004,002,middelen,9.379500000000007
00004,002,wegen,4.66599999999994
00004,002,ijdel,12.992400000095358
00004,002,schatten,6.495799999952396
00004,002,liefje,16.99750000000006
00004,002,moes,7.199499999999944
00004,002,snuiven,8.164399999856983
00004,002,wagon,7.380200000047694
00004,002,staren,4.646799999952236
00004,002,knaap,4.880599999904575
00004,002,bisschop,13.23970000004772
00004,002,geduld,9.08020000004774
00004,002,opkomen,8.11340000009534
00004,002,blad,3.1827999999522945
00004,002,smullen,8.990700000047696
00004,002,techniek,
00004,002,bever,8.172500000000014
00004,002,samen,3.805200000047648
00004,002,kasteel,3.665499999999952
00004,002,grappen,5.254800000190812
00004,002,maaltijd,
00004,002,eenhoorn,8.214600000143037
00004,002,geheim,11.942399999856889
00004,002,afval,13.20740000009539
00004,002,snoep,5.663699999809296
00004,002,koffie,
00004,002,leuk,4.490799999952401
00004,002,rijp,5.960099999904514
00004,002,komisch,9.39129999995248
00004,002,gezond,8.02520000004779
00004,002,voorraad,9.231900000095491
00004,002,plek,3.3495000000000346
00004,002,aanraden,7.2323000001908895
00004,002,steel,4.073599999904445
00004,002,seizoen,14.773699999809196
00004,002,geld,7.809099999904447
00004,002,excuus,7.714700000047742
00004,002,parel,4.565899999857038
00004,002,spanning,6.112600000143175
00004,002,zout,5.762799999952222
00004,002,slagen,
00004,002,opkijken,11.773799999952187
00004,002,loyaal,
00004,002,ticket,14.554299999952264
00004,002,aflopen,10.020399999856863
00004,002,gebit,6.724999999999909
00004,002,dubbel,5.572100000143109
00004,002,stof,10.3757000000478
00004,002,gerucht,8.965499999999793
00004,002,mening,7.56580000019062
00004,002,jurk,8.015499999999975
00004,002,toeval,6.006299999952262
00004,002,site,6.290900000095462
00004,002,slapen,4.488599999904636
00004,002,jaar,5.742299999952365
00004,002,hechten,26.639900000095395
00004,002,baas,3.1412000000477747
00004,002,uien,6.183399999856874
00004,002,aarzelen,5.614599999904613
00004,002,koppen,4.4983000001907385
00004,002,invloed,10.430900000095336
00004,002,jasje,5.296599999904629
00004,002,kreeft,
00004,002,traag,
00004,002,joggen,10.414399999856869
00004,002,tekst,
00004,002,beseffen,10.114700000047604
00004,002,baai,4.566000000000031
00004,002,flirt,8.982000000000198
00004,002,groen,4.093700000047647
00004,002,boeien,7.6491000001431075
00004,002,bleek,3.349799999952211
00004,002,heilig,13.248200000047746
00004,002,toegeven,22.50729999995224
00004,002,woning,11.573100000143086
00004,002,twijfel,8.481799999952273
00004,002,kabel,6.010299999952167
00004,002,anarchie,19.913700000047584
00004,002,steek,
00004,002,klauw,5.525099999904569
00004,002,kust,2.959700000047633
00004,002,laag,2.843899999857058
00004,002,soda,9.598700000047756
00004,002,strikken,9.998299999952224
00004,002,goedkoop,10.031299999952353
00004,002,geit,
00004,002,strekken,22.537099999904513
00004,002,vullen,5.315199999809465
00004,002,zweven,10.24850000000015
00004,002,feestdag,11.897599999904742
00004,002,kring,
00004,002,lokken,8.840000000000146
00004,002,uitdelen,8.732100000142964
00004,002,stemming,8.431300000190731
00004,002,gegeven,6.748499999999922
00004,002,blijven,6.937199999809309
00004,002,diep,7.890700000047673
00004,002,attentie,11.28110000014317
00004,002,lust,3.2242999999523363
