nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
aandelen,0.0,,False,aandelen,19.885099999993997,15.253200000003005,0,
zaal,0.0,,False,zaal,5.747799999997028,9.974799999997003,0,
ticket,0.0,,False,ticket,9.029999999999973,3.290999999999997,0,
parel,0.0,,False,parel,9.327900000005968,3.560199999988072,0,
bisschop,0.0,,False,bisschop,13.497200000002977,13.10829999999703,0,
opheffen,0.0,,False,opheffen,11.73020000000298,23.074599999994064,0,
openbaar,0.0,,False,openbaar,25.84759999999403,1.7019999999999982,0,
invloed,0.0,,False,invloed,13.733799999997018,6.967200000002947,0,
trekker,1.0,trekker,True,trekker,,1.913399999991043,1,18.931900000005953
goedkoop,0.0,,False,goedkoop,11.466299999996977,1.5703000000119118,0,
schuilen,0.0,,False,schuilen,19.367599999994013,0.6277000000029602,0,
blijven,0.0,,False,blijven,16.679500000000075,8.44859999999403,0,
sufferd,0.0,,False,sufferd,12.234000000000037,20.80499999999995,0,
baas,0.0,,False,baas,4.96639999999104,0.9709000000060541,0,
woede,0.0,,False,woede,15.733599999993999,11.711400000005938,0,
kanjer,0.0,,False,kanjer,17.057200000003036,6.602400000006014,0,
bever,0.0,,False,bever,6.534099999994055,1.0207999999970525,0,
bijkomen,0.0,,False,bijkomen,11.383700000003046,4.606099999994058,0,
keihard,0.0,,False,keihard,11.300400000005993,7.843399999990993,0,
afval,0.0,,False,afval,11.494799999996985,0.5739000000058923,0,
akkoord,1.0,akkoord,True,akkoord,,0.8187000000028775,1,8.661299999997027
ijdel,0.0,,False,ijdel,9.100099999994086,0.8019000000059577,0,
woning,0.0,,False,woning,12.033500000000004,0.536700000002952,0,
aanzien,0.0,,False,aanzien,19.868000000000052,7.968999999999937,0,
steel,0.0,,False,steel,6.217399999991017,0.8176000000089516,0,
knie,0.0,,False,knie,5.75,0.5526999999881355,0,
lokken,0.0,,False,lokken,8.566900000005944,0.8930000000000291,0,
opkijken,0.0,,False,opkijken,12.346000000000004,0.580399999991073,0,
baron,0.0,,False,baron,4.763099999993983,0.5950999999940905,0,
getuigen,0.0,,False,getuigen,12.896900000005985,3.820700000002944,0,
traag,1.0,traag,True,traag,,0.5877999999969461,1,30.07459999999412
piste,0.0,,False,piste,7.033700000002909,0.6689999999999827,0,
kaal,0.0,,False,kaal,3.9829000000059978,0.5530999999940605,0,
mijnheer,0.0,,False,mijnheer,16.067400000005932,3.252599999994004,0,
flits,0.0,,False,flits,9.53370000000291,2.8197000000029675,0,
waarvan,0.0,,False,waarvan,11.450799999997002,1.8690000000000282,0,
kennis,0.0,,False,kennis,10.000100000008956,0.5357999999970389,0,
prikken,0.0,,False,prikken,8.833400000006009,0.5954999999999018,0,
heilig,0.0,,False,heilig,10.745000000000005,0.7138000000119291,0,
oceaan,0.0,,False,oceaan,12.417600000008974,2.9700999999940905,0,
aarzelen,0.0,,False,aarzelen,15.416899999991074,4.383700000002932,0,
tekst,1.0,tekst,True,tekst,,0.550299999997037,1,10.793999999999983
joggen,0.0,,False,joggen,5.400599999994029,0.5072999999970307,0,
gezond,0.0,,False,gezond,9.733999999999924,0.6057000000030257,0,
totaal,0.0,,False,totaal,12.200799999996889,0.5194000000060441,0,
muziek,0.0,,False,muziek,8.300299999996923,2.926200000003064,0,
bloeien,0.0,,False,bloeien,9.696999999999889,0.519700000003013,0,
woestijn,1.0,woestijn,True,woestijn,,0.5516000000088752,1,18.579200000003084
vuur,0.0,,False,vuur,11.830700000003162,0.4127000000028147,0,
slak,0.0,,False,slak,5.962300000011965,0.5306999999882009,0,
toeval,0.0,,False,toeval,6.430400000006102,0.4149999999999636,0,
verhaal,0.0,,False,verhaal,25.645999999999958,3.88719999998807,0,
kring,1.0,kring,True,kring,,0.41609999999400316,1,6.761300000011943
waken,0.0,,False,waken,7.300399999991214,0.4928000000118118,0,
vlek,0.0,,False,vlek,4.830099999994218,0.38049999999998363,0,
geld,0.0,,False,geld,3.280099999994036,0.5798000000120282,0,
eenhoorn,0.0,,False,eenhoorn,20.35130000001186,6.010299999997187,0,
gerucht,0.0,,False,gerucht,8.680500000000166,0.5627999999969688,0,
klimmen,0.0,,False,klimmen,8.379999999999882,0.5465999999942142,0,
vullen,0.0,,False,vullen,9.329999999999927,0.44579999999700703,0,
zwart,0.0,,False,zwart,8.183499999999867,9.842700000003106,0,
diep,0.0,,False,diep,6.429499999999962,2.1969000000060532,0,
maling,0.0,,False,maling,20.280600000008917,3.932700000003024,0,
doodmoe,0.0,,False,doodmoe,11.214099999994005,0.679599999994025,0,
toegeven,0.0,,False,toegeven,12.450400000006084,2.4451999999880627,0,
twijfel,0.0,,False,twijfel,18.38070000000289,0.4647000000031767,0,
schat,0.0,,False,schat,6.429200000002993,0.5965000000001055,0,
samen,0.0,,False,samen,6.829900000006091,0.4202000000029784,0,
stiekem,1.0,stiekem,True,stiekem,,0.7359999999998763,1,7.27800000000002
driemaal,0.0,,False,driemaal,20.263199999988274,0.5314999999998236,0,
flirt,0.0,,False,flirt,9.06059999999411,0.5474999999999,0,
praat,0.0,,False,praat,11.895099999994045,0.5989999999999327,0,
mijn,0.0,,False,mijn,4.712700000002997,0.5204000000060205,0,
geit,1.0,geit,True,geit,,0.4335000000000946,1,4.779299999996965
wagon,0.0,,False,wagon,5.567200000002913,0.3917999999971471,0,
beseffen,0.0,,False,beseffen,22.09779999999705,5.130000000000109,0,
kabel,0.0,,False,kabel,7.9450999999939995,0.5322000000028311,0,
schatten,0.0,,False,schatten,10.500700000003008,0.5199000000059186,0,
boeien,0.0,,False,boeien,5.783500000000004,0.5854000000060751,0,
seizoen,0.0,,False,seizoen,10.96699999999987,1.5758999999911794,0,
