welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
-0.187037023,-0.275,1,0,0,10.2275,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,-0.187037023,-0.275,1,0,0,0.9636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,-0.187037023,-0.275,1,0,0,0.8323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,21.6604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,6.0489,0,0,0,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.1667,0,1,1,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.7497,0,2,2,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,1.5495,0,3,3,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.3828,0,4,4,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.1827,0,5,5,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,1.1666,0,6,6,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.6668,0,7,7,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.9331,0,8,8,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.0331,0,9,9,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.0332,0,10,10,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00036,2023-09-26_17h38.43.610,vbt_B2_day1,2022.2.4,Win32,59.39653124,,,,,,,,,,,,,,,,,,,-0.187037023,-0.275,1,0,0,0.6163,0,11,11,5,1,f,images/br_f.png,images/cb_f.png,,,,,,,,,,,,,,,,,,,,,,,,,
