welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.9831,4,13,117,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.3,4,14,118,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.7165,4,15,119,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.1002,4,16,120,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.3167,4,17,121,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.517,4,18,122,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.0177,4,19,123,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.7337,4,20,124,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.2826,4,21,125,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.4841,4,22,126,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.5834,4,23,127,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.7675,4,24,128,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.5171,4,25,129,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.7506,5,0,130,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.4677,5,1,131,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.1995,5,2,132,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.851,5,3,133,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.1499,5,4,134,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.5679,5,5,135,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,6.7323,5,6,136,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.0329,5,7,137,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,2.2998,5,8,138,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.2835,5,9,139,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
