nlLet,letter,readingTime,checkingTime
n,n,1.52109999999404,1.77820000001788
w,w,1.51640000000596,2.83269999998808
c,c,1.51719999998808,1.86610000002384
v,v,1.51659999999404,3.333
f,f,1.51619999998808,1.88340000000596
o,o,1.51659999999404,1.93290000000596
t,t,1.51680000001192,2.86639999997616
p,p,1.51610000002384,2.40019999998808
y,y,1.51630000001192,2.03289999997616
j,j,1.51690000000596,3.53259999999404
i,i,1.51640000000596,2.43320000001788
k,k,1.51639999997616,2.2165
a,a,1.51690000000596,2.19930000001192
h,h,1.51659999999404,1.96680000001192
l,l,1.51600000000001,1.86629999998212
m,m,1.51730000001191,1.88329999998213
g,g,1.51610000002384,1.58339999997615
r,r,1.51630000001192,1.98309999999404
u,u,1.51630000001192,1.96709999999403
e,e,1.51600000000001,2.15290000000596
s,s,1.53009999999404,1.8665
b,b,1.51640000000596,1.94990000000597
d,d,1.51659999999404,1.76629999998211
z,z,1.51650000000001,1.58330000001192
x,x,1.51649999999999,2.03280000001193
q,q,1.51719999998808,1.98430000001191
